emission	unit	sector	Advanced	Developing	Europe	Norway
GHG	Mt	Agriculture, forestry & fishing	0.0705705318404565	0.7336307267161073	0.4865069010583225	1.3390128284416936
GHG	Mt	Business Services	0.347030738500427	1.5447218185604965	1.4196002590197976	1.4162291368858877
GHG	Mt	Construction	0.5735531890498795	2.6881229855007374	1.9218153197896664	4.251396685351287
GHG	Mt	Electrical & machinery	0.4665809143363236	2.3998302032417675	1.1001289122738818	0.0916289035990602
GHG	Mt	Electricity, gas & water	0.048382776397656	0.219145262802804	0.1912700477872228	1.300742770333459
GHG	Mt	Food, beverages & tobacco	0.2888665787094416	2.356897565407623	2.367115889009848	3.012305747238388
GHG	Mt	Metal & metal products	0.1242214503439107	0.4144764741837132	0.2341422765868961	0.2015718194849556
GHG	Mt	Mining & quarrying	0.1890924335801426	0.3654847523469019	0.2155280925347147	2.793466329650269
GHG	Mt	Other manufacturing & recycl.	0.1374847310734396	0.7967993818598198	0.4333687522400798	0.1119708709083061
GHG	Mt	Petroleum, chem & non-met	0.5839794160650384	2.4193898332346446	1.0114620962571084	0.838912480905772
GHG	Mt	Public services	0.5684495089047836	2.5444607752186768	1.3527025928510614	2.5090316825904924
GHG	Mt	Recreation; other services	0.064238982518933	0.3402680043411169	0.2100812510779584	0.3188114226065137
GHG	Mt	Textiles & wearing apparel	0.1350582944642055	2.171587908532128	0.3682968547398596	0.0371957477221768
GHG	Mt	Transport	0.1163825669566456	0.4640192627671038	0.3951272267377859	2.456544539726996
GHG	Mt	Transport equipment	1.0977261005022252	2.117846497423601	1.8836680823841463	0.3832700921532799
GHG	Mt	Wholesale, retail , Hospitality	0.2292642720730126	1.0339550077116555	0.9828685182212984	1.5623047717750178
GHG	Mt	Wood, paper & publishing	0.0160365497490517	0.0832098082615666	0.1276623721572202	0.0359352935784834
