year	component	emission	sector	value	unit
2012	total_footprint	Biomass CO2	Services provided by extraterritorial organisations and bodies	0.0	kt
2012	domestic_footprint	Biomass CO2	Products of agriculture, hunting and related services	6.672346805831532	kt
2012	domestic_footprint	Biomass CO2	Products of forestry, logging and related services	0.16983714047782483	kt
2012	domestic_footprint	Biomass CO2	Fish and other fishing products; aquaculture products; support services to fishing	11.115134289075243	kt
2012	domestic_footprint	Biomass CO2	Mining and quarrying	11.475318807066605	kt
2012	domestic_footprint	Biomass CO2	Food products, beverages and tobacco products	80.88491946066783	kt
2012	domestic_footprint	Biomass CO2	Textiles, wearing apparel and leather products	2.3756936775069044	kt
2012	domestic_footprint	Biomass CO2	Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials	10.30712945577463	kt
2012	domestic_footprint	Biomass CO2	Paper and paper products	96.08566370178835	kt
2012	domestic_footprint	Biomass CO2	Printing and recording services	1.3921054244901727	kt
2012	domestic_footprint	Biomass CO2	Coke and refined petroleum products	0.0	kt
2012	domestic_footprint	Biomass CO2	Chemicals and chemical products	0.0	kt
2012	domestic_footprint	Biomass CO2	Basic pharmaceutical products and pharmaceutical preparations	42.392478880378704	kt
2012	domestic_footprint	Biomass CO2	Rubber and plastics products	0.5193935689961324	kt
2012	domestic_footprint	Biomass CO2	Other non-metallic mineral products	5.280305124064598	kt
2012	domestic_footprint	Biomass CO2	Basic metals	0.38304500485294085	kt
2012	domestic_footprint	Biomass CO2	Fabricated metal products, except machinery and equipment	3.1528579512856707	kt
2012	domestic_footprint	Biomass CO2	Computer, electronic and optical products	1.8984583950198748	kt
2012	domestic_footprint	Biomass CO2	Electrical equipment	1.4530604521699622	kt
2012	domestic_footprint	Biomass CO2	Machinery and equipment n.e.c.	7.1615053993934445	kt
2012	domestic_footprint	Biomass CO2	Motor vehicles, trailers and semi-trailers	2.303685664343633	kt
2012	domestic_footprint	Biomass CO2	Other transport equipment	20.13555597867903	kt
2012	domestic_footprint	Biomass CO2	Furniture; other manufactured goods	10.814873227354594	kt
2012	domestic_footprint	Biomass CO2	Repair and installation services of machinery and equipment	2.5874978226917555	kt
2012	domestic_footprint	Biomass CO2	Electricity, gas, steam and air-conditioning	278.6680100473478	kt
2012	domestic_footprint	Biomass CO2	Natural water; water treatment and supply services	2.548914697249789	kt
2012	domestic_footprint	Biomass CO2	Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services	18.464579864184	kt
2012	domestic_footprint	Biomass CO2	Constructions and construction works	328.71373348546456	kt
2012	domestic_footprint	Biomass CO2	Wholesale and retail trade and repair services of motor vehicles and motorcycles	46.66914834485633	kt
2012	domestic_footprint	Biomass CO2	Wholesale trade services, except of motor vehicles and motorcycles	91.17369332451051	kt
2012	domestic_footprint	Biomass CO2	Retail trade services, except of motor vehicles and motorcycles	52.668333484253054	kt
2012	domestic_footprint	Biomass CO2	Land transport services and transport services via pipelines	45.24190756182506	kt
2012	domestic_footprint	Biomass CO2	Water transport services	2.0045168811402365	kt
2012	domestic_footprint	Biomass CO2	Air transport services	1.8109078644751624	kt
2012	domestic_footprint	Biomass CO2	Warehousing and support services for transportation	16.763961440262594	kt
2012	domestic_footprint	Biomass CO2	Postal and courier services	4.79827012866861	kt
2012	domestic_footprint	Biomass CO2	Accommodation and food services	13.363518878936235	kt
2012	domestic_footprint	Biomass CO2	Publishing services	22.55629318727778	kt
2012	domestic_footprint	Biomass CO2	Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services	6.939546725036676	kt
2012	domestic_footprint	Biomass CO2	Telecommunications services	9.539404377695742	kt
2012	domestic_footprint	Biomass CO2	Computer programming, consultancy and related services; information services	14.989556203717912	kt
2012	domestic_footprint	Biomass CO2	Financial services, except insurance and pension funding	5.018024802770394	kt
2012	domestic_footprint	Biomass CO2	Insurance, reinsurance and pension funding services, except compulsory social security	3.2159523231220413	kt
2012	domestic_footprint	Biomass CO2	Services auxiliary to financial services and insurance services	0.6640941420389306	kt
2012	domestic_footprint	Biomass CO2	Real estate services (excluding imputed rents)	26.781308296976963	kt
2012	domestic_footprint	Biomass CO2	Imputed rents of owner-occupied dwellings	62.137328428233936	kt
2012	domestic_footprint	Biomass CO2	Legal and accounting services; services of head offices; management consulting services	3.9990241694148985	kt
2012	domestic_footprint	Biomass CO2	Architectural and engineering services; technical testing and analysis services	35.24900149745359	kt
2012	domestic_footprint	Biomass CO2	Scientific research and development services	3.15744907317391	kt
2012	domestic_footprint	Biomass CO2	Advertising and market research services	0.06719315712790395	kt
2012	domestic_footprint	Biomass CO2	Other professional, scientific and technical services; veterinary services	0.8709237142360411	kt
2012	domestic_footprint	Biomass CO2	Rental and leasing services	2.3019273165207523	kt
2012	domestic_footprint	Biomass CO2	Employment services	3.143728708686692	kt
2012	domestic_footprint	Biomass CO2	Travel agency, tour operator and other reservation services and related services	4.2966004781477665	kt
2012	domestic_footprint	Biomass CO2	Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services	2.0294468319544094	kt
2012	domestic_footprint	Biomass CO2	Public administration and defence services; compulsory social security services	144.16245976427942	kt
2012	domestic_footprint	Biomass CO2	Education services	69.0426121956853	kt
2012	domestic_footprint	Biomass CO2	Human health services	39.48121069380607	kt
2012	domestic_footprint	Biomass CO2	Social work services	27.162301902016356	kt
2012	domestic_footprint	Biomass CO2	Creative, arts and entertainment services; library, archive, museum and other cultural services; gambling and betting services	16.388291037912182	kt
2012	domestic_footprint	Biomass CO2	Sporting services and amusement and recreation services	8.398084312294687	kt
2012	domestic_footprint	Biomass CO2	Services furnished by membership organisations	11.217494469970159	kt
2012	domestic_footprint	Biomass CO2	Repair services of computers and personal and household goods	0.17542409727535258	kt
2012	domestic_footprint	Biomass CO2	Other personal services	5.24980956736822	kt
2012	domestic_footprint	Biomass CO2	Services of households as employers; undifferentiated goods and services produced by households for own use	0.0	kt
2012	domestic_footprint	Biomass CO2	Services provided by extraterritorial organisations and bodies	0.0	kt
2012	import_footprint	Biomass CO2	Products of agriculture, hunting and related services	57.739327000013525	kt
2012	import_footprint	Biomass CO2	Products of forestry, logging and related services	0.8856879891164984	kt
2012	import_footprint	Biomass CO2	Fish and other fishing products; aquaculture products; support services to fishing	24.8045627166542	kt
2012	import_footprint	Biomass CO2	Mining and quarrying	43.66422733409992	kt
2012	import_footprint	Biomass CO2	Food products, beverages and tobacco products	461.5833209139224	kt
2012	import_footprint	Biomass CO2	Textiles, wearing apparel and leather products	119.01254544743021	kt
2012	import_footprint	Biomass CO2	Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials	13.412961637829936	kt
2012	import_footprint	Biomass CO2	Paper and paper products	376.9060200559977	kt
2012	import_footprint	Biomass CO2	Printing and recording services	1.6260628867745552	kt
2012	import_footprint	Biomass CO2	Coke and refined petroleum products	0.0	kt
2012	import_footprint	Biomass CO2	Chemicals and chemical products	0.0	kt
2012	import_footprint	Biomass CO2	Basic pharmaceutical products and pharmaceutical preparations	164.64118325787098	kt
2012	import_footprint	Biomass CO2	Rubber and plastics products	18.162069427018267	kt
2012	import_footprint	Biomass CO2	Other non-metallic mineral products	14.524976914267189	kt
2012	import_footprint	Biomass CO2	Basic metals	5.817365141375328	kt
2012	import_footprint	Biomass CO2	Fabricated metal products, except machinery and equipment	16.10248924865101	kt
