year	component	emission	value	unit
2013	footprint_gross_imports	CO2	65351.945511202706	kt
2013	import_footprint	CO2	45782.86479768687	kt
2013	production_account	CO2	54060.377826799995	kt
2013	total_footprint	CO2	65527.36706252628	kt
2013	total_footprint_with_households	CO2	71222.76327742627	kt
2013	production_account_with_households	CO2	59755.774041699995	kt
2013	household_totals	CO2	5695.3962149	kt
2013	domestic_footprint	GHG	25.129556251179412	Mt
2013	footprint_gross_exports	GHG	64.91543361218567	Mt
2013	footprint_gross_imports	GHG	92.66438082469786	Mt
2013	import_footprint	GHG	65.3112667843137	Mt
2013	production_account	GHG	62.691875822980904	Mt
2013	total_footprint	GHG	90.44082303549311	Mt
2013	total_footprint_with_households	GHG	97.0016710641468	Mt
2013	production_account_with_households	GHG	69.2527238516346	Mt
2013	household_totals	GHG	6.5608480286537	Mt
2013	domestic_footprint	HFC	558759.0198997196	t
2013	footprint_gross_exports	HFC	962797.3207546968	t
2013	footprint_gross_imports	HFC	2229659.7112442227	t
2013	import_footprint	HFC	1534790.4287701063	t
2013	production_account	HFC	826687.0581803	t
2013	total_footprint	HFC	2093549.448669826	t
2013	total_footprint_with_households	HFC	2334503.5374861257	t
2013	production_account_with_households	HFC	1067641.1469966	t
2013	household_totals	HFC	240954.0888163	t
2013	domestic_footprint	N2O	5317.456129022312	t
2013	footprint_gross_exports	N2O	5710.170887624888	t
2013	footprint_gross_imports	N2O	14445.841911188121	t
2013	import_footprint	N2O	11691.207056040925	t
2013	production_account	N2O	8272.9921615	t
2013	total_footprint	N2O	17008.663185063237	t
2013	total_footprint_with_households	N2O	17299.198184763238	t
2013	production_account_with_households	N2O	8563.5271612	t
2013	household_totals	N2O	290.5349997	t
2013	domestic_footprint	PFC	11785.425944289409	t
2013	footprint_gross_exports	PFC	614860.4493944113	t
2013	footprint_gross_imports	PFC	895882.19187224	t
2013	import_footprint	PFC	432013.7996792394	t
2013	production_account	PFC	162777.4831457	t
2013	total_footprint	PFC	443799.2256235288	t
2013	total_footprint_with_households	PFC	443799.2256235288	t
2013	production_account_with_households	PFC	162777.4831457	t
2013	household_totals	PFC	0.0	t
2013	domestic_footprint	SF6_NF3	37413.95215287441	t
2013	footprint_gross_exports	SF6_NF3	221884.74944935326	t
2013	footprint_gross_imports	SF6_NF3	655568.3513057976	t
2013	import_footprint	SF6_NF3	448465.50181856996	t
2013	production_account	SF6_NF3	52195.852115	t
2013	total_footprint	SF6_NF3	485879.4539714444	t
2013	total_footprint_with_households	SF6_NF3	490822.2099819444	t
2013	production_account_with_households	SF6_NF3	57138.6081255	t
2013	household_totals	SF6_NF3	4942.7560105	t
2014	domestic_footprint	Biomass CO2	1226.900578761765	kt
2014	footprint_gross_exports	Biomass CO2	1901.7367649899975	kt
2014	footprint_gross_imports	Biomass CO2	5585.642492896719	kt
2014	import_footprint	Biomass CO2	4329.228838144957	kt
2014	production_account	Biomass CO2	1872.2236890000001	kt
2014	total_footprint	Biomass CO2	5556.129416906721	kt
2014	total_footprint_with_households	Biomass CO2	7384.306473406721	kt
2014	production_account_with_households	Biomass CO2	3700.4007455	kt
2014	household_totals	Biomass CO2	1828.1770565	kt
2014	domestic_footprint	CH4	117740.92465321576	t
2014	footprint_gross_exports	CH4	260450.06235830186	t
2014	footprint_gross_imports	CH4	650824.0916203224	t
2014	import_footprint	CH4	464824.5916687049	t
2014	production_account	CH4	192191.48705989998	t
2014	total_footprint	CH4	582565.5163219207	t
2014	total_footprint_with_households	CH4	600213.6025320207	t
2014	production_account_with_households	CH4	209839.57327	t
2014	household_totals	CH4	17648.0862101	t
2014	domestic_footprint	CO2	19200.736982880764	kt
2014	footprint_gross_exports	CO2	52871.09757199624	kt
2014	footprint_gross_imports	CO2	60126.91097884708	kt
2014	import_footprint	CO2	41630.467703770075	kt
2014	production_account	CO2	53575.3912798	kt
2014	total_footprint	CO2	60831.20468665083	kt
2014	total_footprint_with_households	CO2	66425.49980335083	kt
2014	production_account_with_households	CO2	59169.6863965	kt
2014	household_totals	CO2	5594.2951167	kt
2014	domestic_footprint	GHG	24.45174794362602	Mt
2014	footprint_gross_exports	GHG	63.54077955313757	Mt
2014	footprint_gross_imports	GHG	86.0089658473133	Mt
2014	import_footprint	GHG	60.16452833645073	Mt
2014	production_account	GHG	62.14808998590101	Mt
2014	total_footprint	GHG	84.61627628007675	Mt
2014	total_footprint_with_households	GHG	91.02553452015304	Mt
2014	production_account_with_households	GHG	68.55734822597731	Mt
2014	household_totals	GHG	6.4092582400763005	Mt
2014	domestic_footprint	HFC	528538.052982368	t
2014	footprint_gross_exports	HFC	964335.0512310709	t
2014	footprint_gross_imports	HFC	2307847.1537805526	t
2014	import_footprint	HFC	1594264.2196389139	t
2014	production_account	HFC	779290.1700718	t
2014	total_footprint	HFC	2122802.272621282	t
2014	total_footprint_with_households	HFC	2371126.577105782	t
2014	production_account_with_households	HFC	1027614.4745563	t
2014	household_totals	HFC	248324.3044845	t
2014	domestic_footprint	N2O	5213.436368685356	t
2014	footprint_gross_exports	N2O	6320.284397955005	t
2014	footprint_gross_imports	N2O	15121.538425512319	t
2014	import_footprint	N2O	11911.28961597196	t
2014	production_account	N2O	8323.4719571	t
2014	total_footprint	N2O	17124.725984657314	t
2014	total_footprint_with_households	N2O	17379.816839557316	t
2014	production_account_with_households	N2O	8578.562812	t
2014	household_totals	N2O	255.0908549	t
2014	domestic_footprint	PFC	12492.132912812114	t
2014	footprint_gross_exports	PFC	563963.4990167321	t
2014	footprint_gross_imports	PFC	826788.9408930223	t
2014	import_footprint	PFC	411216.7819269781	t
2014	production_account	PFC	160883.47296349998	t
2014	total_footprint	PFC	423708.9148397902	t
2014	total_footprint_with_households	PFC	423708.9148397902	t
2014	production_account_with_households	PFC	160883.47296349998	t
2014	household_totals	PFC	0.0	t
2014	domestic_footprint	SF6_NF3	31674.24685841782	t
2014	footprint_gross_exports	SF6_NF3	173906.31940298414	t
2014	footprint_gross_imports	SF6_NF3	517136.5256628619	t
2014	import_footprint	SF6_NF3	356999.31615845993	t
2014	production_account	SF6_NF3	45443.356757	t
2014	total_footprint	SF6_NF3	388673.56301687774	t
2014	total_footprint_with_households	SF6_NF3	393566.89147737774	t
2014	production_account_with_households	SF6_NF3	50336.6852175	t
2014	household_totals	SF6_NF3	4893.3284605	t
2015	domestic_footprint	Biomass CO2	1385.3432412741136	kt
2015	footprint_gross_exports	Biomass CO2	2284.9920264905695	kt
2015	footprint_gross_imports	Biomass CO2	6524.393663015963	kt
2015	import_footprint	Biomass CO2	4949.515831151281	kt
2015	production_account	Biomass CO2	2095.4574359000003	kt
2015	total_footprint	Biomass CO2	6334.859072425395	kt
2015	total_footprint_with_households	Biomass CO2	8292.305799325395	kt
2015	production_account_with_households	Biomass CO2	4052.9041628000004	kt
2015	household_totals	Biomass CO2	1957.4467269	kt
2015	domestic_footprint	CH4	116581.9892700351	t
2015	footprint_gross_exports	CH4	266464.0754679017	t
2015	footprint_gross_imports	CH4	620183.1958098896	t
2015	import_footprint	CH4	430312.7439095528	t
2015	production_account	CH4	193175.6128376	t
2015	total_footprint	CH4	546894.7331795879	t
2015	total_footprint_with_households	CH4	565207.8471896879	t
2015	production_account_with_households	CH4	211488.7268477	t
2015	household_totals	CH4	18313.1140101	t
2015	domestic_footprint	CO2	20822.271203919703	kt
2015	footprint_gross_exports	CO2	56682.2816479778	kt
2015	footprint_gross_imports	CO2	54097.557841345595	kt
2015	import_footprint	CO2	37201.0721420481	kt
2015	production_account	CO2	60608.0671526	kt
2015	total_footprint	CO2	58023.343345967805	kt
2015	total_footprint_with_households	CO2	63573.244309867805	kt
2015	production_account_with_households	CO2	66157.96811650001	kt
2015	household_totals	CO2	5549.9009639	kt
2015	domestic_footprint	GHG	25.9507584796055	Mt
2015	footprint_gross_exports	GHG	67.446106301528	Mt
2015	footprint_gross_imports	GHG	78.6029034094466	Mt
2015	import_footprint	GHG	54.340464401464196	Mt
2015	production_account	GHG	69.13442577315111	Mt
2015	total_footprint	GHG	80.2912228810697	Mt
2015	total_footprint_with_households	GHG	86.6983340582443	Mt
2015	production_account_with_households	GHG	75.5415369503257	Mt
2015	household_totals	GHG	6.407111177174599	Mt
2015	domestic_footprint	HFC	451920.6086966544	t
2015	footprint_gross_exports	HFC	908166.8583375596	t
2015	footprint_gross_imports	HFC	2159331.9049086263	t
