year	region	emission	value	unit
2015	Developing	PFC	180607.2419352566	t
2015	Norway	PFC	21624.826380749768	t
2015	Europe	SF6_NF3	285827.3495268994	t
2015	Advanced	SF6_NF3	23090.12013160496	t
2015	Developing	SF6_NF3	61555.14069667921	t
2015	Norway	SF6_NF3	33641.324570691206	t
2016	Europe	Biomass CO2	3557.5507303862323	kt
2016	Advanced	Biomass CO2	239.76308243301025	kt
2016	Developing	Biomass CO2	1137.3675509774962	kt
2016	Norway	Biomass CO2	1634.1096997242132	kt
2016	Europe	CH4	74044.37599276344	t
2016	Advanced	CH4	23016.317683498884	t
2016	Developing	CH4	294788.7142795356	t
2016	Norway	CH4	117330.2807387069	t
2016	Europe	CO2	11165.604693981715	kt
2016	Advanced	CO2	4866.979014132391	kt
2016	Developing	CO2	19671.88137269861	kt
2016	Norway	CO2	18151.21834389187	kt
2016	Europe	GHG	15.08049359645121	Mt
2016	Advanced	GHG	6.011488763330732	Mt
2016	Developing	GHG	30.650641671353753	Mt
2016	Norway	GHG	23.33389616849378	Mt
2016	Europe	HFC	613740.0514346482	t
2016	Advanced	HFC	199520.85657024395	t
2016	Developing	HFC	664465.2597313105	t
2016	Norway	HFC	491189.3572196269	t
2016	Europe	N2O	2970.664817376404	t
2016	Advanced	N2O	935.0435530033893	t
2016	Developing	N2O	6637.258198574746	t
2016	Norway	N2O	5087.43408304373	t
2016	Europe	PFC	140273.50515535	t
2016	Advanced	PFC	30582.01445018907	t
2016	Developing	PFC	247795.5768242219	t
2016	Norway	PFC	29140.54641850968	t
2016	Europe	SF6_NF3	300406.6414773733	t
2016	Advanced	SF6_NF3	22163.441494040802	t
2016	Developing	SF6_NF3	53542.039650306746	t
2016	Norway	SF6_NF3	28930.028273399064	t
2017	Europe	Biomass CO2	4416.185954879918	kt
2017	Advanced	Biomass CO2	208.0299222286331	kt
2017	Developing	Biomass CO2	830.5527191292607	kt
2017	Norway	Biomass CO2	1994.1021087998504	kt
2017	Europe	CH4	77639.82058272314	t
2017	Advanced	CH4	19295.04999238954	t
2017	Developing	CH4	228477.91307824553	t
2017	Norway	CH4	119408.50995329508	t
2017	Europe	CO2	12313.273039667905	kt
2017	Advanced	CO2	4430.620784631745	kt
2017	Developing	CO2	15605.88654556062	kt
2017	Norway	CO2	18096.711251862616	kt
2017	Europe	GHG	16.33680305676521	Mt
2017	Advanced	GHG	5.361818912200073	Mt
2017	Developing	GHG	24.153442471628864	Mt
2017	Norway	GHG	23.41461588078126	Mt
2017	Europe	HFC	574436.6424010678	t
2017	Advanced	HFC	187648.3735602317	t
2017	Developing	HFC	704814.0398546632	t
2017	Norway	HFC	531107.8662179747	t
2017	Europe	N2O	3357.5981051564772	t
2017	Advanced	N2O	592.2956296136382	t
2017	Developing	N2O	4534.400936034664	t
2017	Norway	N2O	5265.377982971034	t
2017	Europe	PFC	113327.17300725337	t
2017	Advanced	PFC	22408.857559858265	t
2017	Developing	PFC	191261.56390622174	t
2017	Norway	PFC	21163.274689177688	t
2017	Europe	SF6_NF3	272087.72750626766	t
2017	Advanced	SF6_NF3	23921.154813716385	t
2017	Developing	SF6_NF3	52482.508067299656	t
