year	emission	region	sector	value	unit
2012	CH4	Europe	Electrical & machinery	3930.86231478628	t
2012	CH4	Advanced	Electrical & machinery	1475.2473050917267	t
2012	CH4	Developing	Electrical & machinery	17459.252663392992	t
2012	CH4	Norway	Electrical & machinery	525.7596077796613	t
2012	CH4	Europe	Electricity, gas & water	1419.9411853742786	t
2012	CH4	Advanced	Electricity, gas & water	264.5466600088807	t
2012	CH4	Developing	Electricity, gas & water	3135.4207753287383	t
2012	CH4	Norway	Electricity, gas & water	9965.189003646687	t
2012	CH4	Europe	Food, beverages & tobacco	18809.090606670525	t
2012	CH4	Advanced	Food, beverages & tobacco	1490.7680819298357	t
2012	CH4	Developing	Food, beverages & tobacco	38569.56795081507	t
2012	CH4	Norway	Food, beverages & tobacco	44479.29508644852	t
2012	CH4	Europe	Metal & metal products	840.3515855730914	t
2012	CH4	Advanced	Metal & metal products	267.5628047750743	t
2012	CH4	Developing	Metal & metal products	2570.699539957229	t
2012	CH4	Norway	Metal & metal products	126.47559421264057	t
2012	CH4	Europe	Mining & quarrying	2071.870764014884	t
2012	CH4	Advanced	Mining & quarrying	1783.1512564596628	t
2012	CH4	Developing	Mining & quarrying	12394.585113162953	t
2012	CH4	Norway	Mining & quarrying	3253.81153144906	t
2012	CH4	Europe	Other manufacturing & recycl.	1430.6866401043544	t
2012	CH4	Advanced	Other manufacturing & recycl.	417.8526599855659	t
2012	CH4	Developing	Other manufacturing & recycl.	6692.128210370987	t
2012	CH4	Norway	Other manufacturing & recycl.	315.54796083297265	t
2012	CH4	Europe	Petroleum, chem & non-met	5338.37668637661	t
2012	CH4	Advanced	Petroleum, chem & non-met	4133.014276955265	t
2012	CH4	Developing	Petroleum, chem & non-met	40106.555213037536	t
2012	CH4	Norway	Petroleum, chem & non-met	4405.37253755516	t
2012	CH4	Europe	Public services	5702.465906524694	t
2012	CH4	Advanced	Public services	2284.1981337184025	t
2012	CH4	Developing	Public services	28577.33974015959	t
2012	CH4	Norway	Public services	8228.000639117761	t
2012	CH4	Europe	Recreation; other services	1096.9797717894587	t
2012	CH4	Advanced	Recreation; other services	419.4176422191414	t
2012	CH4	Developing	Recreation; other services	5834.529084729805	t
2012	CH4	Norway	Recreation; other services	1576.3692073793673	t
2012	CH4	Europe	Textiles & wearing apparel	1947.656169659843	t
2012	CH4	Advanced	Textiles & wearing apparel	840.8372503728663	t
