emission	unit	sector	Changes in inventories	Changes in valuables	Exports fob (2)	Final consumption expenditure by government	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Gross fixed capital formation
GHG	Mt	Agriculture, forestry & fishing	0.0	0.0	1.7686265397340748	7.809958634431526e-06	2.280591776739683	0.0	0.0737364659579154
GHG	Mt	Business Services	0.5861239389528158	0.0	1.1009370879683016	0.0100550195786506	2.58504148782474	0.0	1.7400378084622623
GHG	Mt	Construction	2.1716906692590148	0.0	0.0666881864999394	0.0060373495636904	0.0600554810892058	0.0	9.12505483693934
GHG	Mt	Electrical & machinery	0.0593807228495341	0.0	1.8904716517640736	0.0148896294877236	3.2102656386228863	0.0	3.326943833977627
GHG	Mt	Electricity, gas & water	0.1735216142589195	0.0	0.7032765052868426	0.1106606058500221	1.6079017735869237	0.0	0.1786533733130832
GHG	Mt	Food, beverages & tobacco	1.8209081784531904	0.0	2.485005647763792	0.0021562690514363	6.1125368969226965	0.0	0.0519799981825031
GHG	Mt	Metal & metal products	1.1883008813744436	0.0	5.473069204852231	0.0084616950902477	0.289875529153619	0.0	0.6640726430287729
GHG	Mt	Mining & quarrying	0.09975130749307	0.0	15.318026020699056	0.00493210946193	0.0950184375440394	0.0	1.1631994772550591
GHG	Mt	Other manufacturing & recycl.	0.0094477034063504	0.0	0.2207676616851523	0.1321566254497031	1.868351765706296	0.0	1.0109095038893794
GHG	Mt	Petroleum, chem & non-met	0.8416545174491764	0.0	7.96964506104322	0.3704798699650213	3.215208546048207	0.0	0.3029202676762149
GHG	Mt	Public services	0.0	0.0	0.026364900360246	6.403596354254455	0.6501502785630205	0.250801992278302	0.1899118620833956
GHG	Mt	Recreation; other services	6.310569518120494e-08	0.0	0.0145996828795153	0.1253305361564261	0.5439523996789609	0.4585933589959038	0.0302279793417102
GHG	Mt	Textiles & wearing apparel	0.0	0.0	0.0764977602850979	0.001368390860662	2.067214061107734	0.0	0.0219671050909899
GHG	Mt	Transport	0.062946070472833	0.0	19.33488191001287	0.1889418167556473	2.1030923146711764	0.0	0.8706344828429611
GHG	Mt	Transport equipment	0.5982473904534963	0.0	0.8214285382801856	0.0235912708162965	2.2614955752476056	0.0	3.4152206161290146
GHG	Mt	Wholesale, retail & hospitality	0.2694667410887431	0.0	1.2850550212871812	0.1114420713044707	3.9416397173797626	0.0	0.3739662576265943
GHG	Mt	Wood, paper & publishing	0.0337002588413825	0.0	0.4553241734585496	0.0002595082119546	0.2078740138610696	0.0	0.0745500033557917
