component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
domestic_footprint	SF6_NF3	t CO2-eq	34567.7524960019	37413.95215287439	31674.246858417824	32122.319975823943	27433.532477086213	25263.063097918213	22043.470554753323	33683.804908663325	37475.98902987491	25245.045585978383
footprint_gross_exports	SF6_NF3	t CO2-eq	139217.75775418174	133308.35853064284	130219.1037960862	122682.04133115444	98577.60281311476	93108.0876615073	88678.23012432821	109251.2221447618	87466.01365120846	109778.35372756074
footprint_gross_imports	SF6_NF3	t CO2-eq	393758.8548886173	408357.8845236907	406461.4128840226	372912.9582799029	328754.4405595544	320882.134302308	304369.00935762585	328524.6329449628	294510.24948899803	362312.6550111162
household_totals	SF6_NF3	t CO2-eq	4992.6828415	4942.7560105	4893.3284605	24989.199324	24739.3073505	24491.914273	24246.9951345	24004.5215	23765.55	23526.83512
import_footprint	SF6_NF3	t CO2-eq	269227.4871749336	289831.42595517344	290011.4189865186	262784.3038579245	241054.59450385335	236023.95166788247	224904.5715405444	231651.2585760376	221787.43230791463	266244.42244257714
production_account	SF6_NF3	t CO2-eq	49254.1425365	52195.852115	45443.356757	44675.706885	38311.2892345	33512.968125	31257.262862	46061.6526845	52219.1855	38955.166745
production_account_with_households	SF6_NF3	t CO2-eq	54246.825378	57138.6081255	50336.6852175	69664.90620900001	63050.596585	58004.882398	55504.2579965	70066.17418449999	75984.7355	62482.001865
total_footprint	SF6_NF3	t CO2-eq	303795.2396709355	327245.3781080478	321685.66584493645	294906.6238337484	268488.1269809396	261287.01476580068	246948.0420952977	265335.063484701	259263.4213377896	291489.4680285555
total_footprint_with_households	SF6_NF3	t CO2-eq	308787.92251243547	332188.13411854784	326578.99430543644	319895.8231577484	293227.4343314396	285778.92903880065	271195.0372297977	289339.5849847009	283028.9713377896	315016.3031485555
