sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	1.3346242450362733	225.3972534954247	7.118235351502524	1477.4587802698877	200.2264194590748	25531.11531018375	2577.763032132705	51.19663259140684
Business Services	1.377781908648902	1166.4174391440038	189.90798646219915	120.3713979707912	5302.130469311132	4541.051795837676	45743.328126043954	1271.1401638294058
Construction	4.210641341679974	3852.973529486353	515.6351063465598	303.97843341557285	2657.828473125673	8245.323903436247	39831.38187046504	3755.247698685277
Electrical & machinery	0.0690914061972578	60.83415552166081	4.818430882560746	5.906804446584839	404.4441310344256	154.7154951695882	1305.4346673796845	650.0348340895364
Electricity, gas & water	1.2974442809459408	794.2410449878616	372.9373677941631	111.91693030278688	18135.5390580494	12026.611456151968	118451.33941162606	213.25018591000097
Food, beverages & tobacco	2.959656819648554	1106.1260290836708	57.08676582355739	2441.367935787276	1118.0463567186216	42663.19966280292	10321.57483266744	559.0758333877611
Metal & metal products	0.1975066250636573	185.9671914550001	6.825256783076306	5.537903125113195	265.87901919156536	123.56488740562176	1181.0275575350142	5165.165856418313
Mining & quarrying	2.788430194325458	2664.9900222150845	11.689101675625752	24.58236890771804	313.8327765876839	4096.386823861827	1535.1148314310867	378.06567367959866
Other manufacturing & recycl.	0.100972798759982	87.49413823039258	11.767321269627216	12.085199153312692	213.15066256234667	293.1115538639524	1372.2822476569509	483.526335551604
Petroleum, chem & non-met	0.7956646084151319	753.3630381745326	34.68651744206864	87.90865224624781	240.75909421185148	640.3836266605609	688.4316052381917	145.8451493980362
Public services	2.4658325327229123	2101.715597433483	341.58355804819166	306.9763828362222	4947.205362003338	5970.699079480646	109122.4056867052	1519.00856366505
Recreation; other services	0.3132270665272803	255.44299870735543	31.62961069866953	30.547997735472045	738.8376412643902	931.5838562281564	22569.94716582496	295.71563854721444
Textiles & wearing apparel	0.0318581781084452	15.449601290648197	1.1443449698135908	21.09075354399797	24.74108267718769	375.024844419272	205.58986140700569	88.50054081378173
Transport	2.445526703437018	2375.777882272167	96.0017657476279	93.40510261586458	461.0095192688712	1291.0382648276443	8017.800937953164	368.5870992496399
Transport equipment	0.3597447399929084	327.2614119841092	14.13076840791154	25.02059132969258	415.2233096057192	730.348905783836	2464.4882710107413	2523.3903638671004
Wholesale, retail & hospitality	1.5297684073252635	1280.9477620191806	143.15202944082068	198.01476964329845	1987.632420797942	4530.222307159976	66309.78461230035	1203.0897170312496
Wood, paper & publishing	0.0335124882543234	21.112285785982653	43.48795502134325	3.188345598084078	49.503234005680994	397.2194028767016	342.45826958352234	41.186100711774
