component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
domestic_footprint	PFC	t CO2-eq	13885.40645214001	11785.425944289404	12492.132912812112	9847.31965970682	12607.265973613865	10417.883147483071	11995.701304802167	14006.05458283372	18712.026387426748	63070.84768495624
footprint_gross_exports	PFC	t CO2-eq	337734.52974609577	296974.3166996376	270649.2373946103	229827.2318044001	286203.96750148834	225390.75142517017	228100.71647514543	272709.27378452534	215014.7125930609	237693.9473264012
footprint_gross_imports	PFC	t CO2-eq	331219.8362103222	303689.39871532435	277671.2205846647	237882.10361724385	274336.3032099044	244739.49590424143	243528.98199069907	267970.55309188686	226374.37981867048	229719.23793738024
household_totals	PFC	t CO2-eq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
import_footprint	PFC	t CO2-eq	159855.62114928648	157707.1392170972	155413.32324074235	129835.15945313704	142928.91990480202	126681.19430158836	136578.20256075147	138666.3601645278	137801.27604818277	151717.18080602278
production_account	PFC	t CO2-eq	180255.7211372	162777.4831457	160883.47296349998	131627.6073	167403.85017	117750.33297	133145.63835	157411.13544	145153.63521	222762.73788
production_account_with_households	PFC	t CO2-eq	180255.7211372	162777.4831457	160883.47296349998	131627.6073	167403.85017	117750.33297	133145.63835	157411.13544	145153.63521	222762.73788
total_footprint	PFC	t CO2-eq	173741.02760142647	169492.5651613866	167905.45615355446	139682.47911284387	155536.18587841588	137099.07744907142	148573.9038655536	152672.41474736153	156513.3024356095	214788.02849097905
total_footprint_with_households	PFC	t CO2-eq	173741.02760142647	169492.5651613866	167905.45615355446	139682.47911284387	155536.18587841588	137099.07744907142	148573.9038655536	152672.41474736153	156513.3024356095	214788.02849097905
