component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
domestic_footprint	N2O	t	5326.165591172519	5317.456129022311	5213.436368685356	5170.948406764643	5062.325464388285	5207.042126197701	5267.344143548434	5201.447634660496	5269.358348927923	5234.988590171731
footprint_gross_exports	N2O	t	5542.420125015332	5219.526929573889	5948.41061495299	5927.326713648648	5507.588236324246	4883.241467406527	4797.511355602231	5147.157601190363	4320.723537934915	4498.772992012513
footprint_gross_imports	N2O	t	12382.798683415773	11549.907086561583	13707.57084432289	12316.09102460442	12235.489865215786	10347.316929466137	10185.09008439298	10685.795846520608	8642.355388400585	9150.557059899827
household_totals	N2O	t	293.0892856	290.5349997	255.0908549	253.8952101	267.5997903	250.2133593	257.9661377	225.3533759	230.418296	230.9955142
import_footprint	N2O	t	9851.808028127924	9285.916189465386	10869.195817784544	9836.343107891133	9856.294923703255	8372.77812756191	8225.49901244232	8593.572085769749	7008.852439337748	7381.481082015583
production_account	N2O	t	8337.5950609	8272.9921615	8323.4719571	8618.5272037	8190.7187592	8115.7447917	8105.264427200001	8256.381475099999	7956.5789378	7964.6856043
production_account_with_households	N2O	t	8630.684346499998	8563.5271612	8578.562812	8872.422413799999	8458.3185495	8365.958151	8363.2305649	8481.734851	8186.9972338	8195.6811185
total_footprint	N2O	t	15177.973619300445	14603.372318487696	16082.632186469902	15007.291514655772	14918.62038809154	13579.820253759612	13492.843155990751	13795.019720430244	12278.210788265673	12616.469672187312
total_footprint_with_households	N2O	t	15471.062904900442	14893.907318187696	16337.723041369902	15261.186724755771	15186.22017839154	13830.033613059612	13750.809293690752	14020.373096330244	12508.62908426567	12847.465186387311
