emission	unit	sector	Advanced	Developing	Europe	Norway
GHG	Mt	Agriculture, forestry & fishing	0.097305561283017	0.4595797742755831	0.5452243576557807	1.3417505424976586
GHG	Mt	Business Services	0.3128221671104259	1.9875734997668253	1.2164213940888036	1.4122091439943794
GHG	Mt	Construction	0.4489834068133058	3.985113929792604	1.7916147034142034	4.271027161118271
GHG	Mt	Electrical & machinery	0.2747299853230045	4.822770634514884	0.8331761328671974	0.091556986901391
GHG	Mt	Electricity, gas & water	0.0455669434442268	0.262261282558135	0.1910708644994377	1.3021017377319484
GHG	Mt	Food, beverages & tobacco	0.3269240827995413	2.231154397900973	2.095835743844423	3.000649210295477
GHG	Mt	Metal & metal products	0.111669859348238	0.4521115757439263	0.2092543932148203	0.2020904815462755
GHG	Mt	Mining & quarrying	0.0859043479739855	0.4516279991335949	0.2194584603510483	2.7969422351536863
GHG	Mt	Other manufacturing & recycl.	0.1205887270203795	1.6313503295550729	0.4659578893540969	0.1137777151973729
GHG	Mt	Petroleum, chem & non-met	0.4242710480582711	1.774008799945866	1.2624079157405437	0.9119063965210064
GHG	Mt	Public services	0.4548618265682344	2.7216022897013925	1.4331499948593425	2.5515594238745005
GHG	Mt	Recreation; other services	0.0538358246685169	0.4835316613751764	0.2002817372084626	0.320783202909402
GHG	Mt	Textiles & wearing apparel	0.0970900881366347	1.9536731841881283	0.262910217555678	0.0358894055658769
GHG	Mt	Transport	0.0975752621067465	0.4881859810679664	0.3459282780594765	2.462988421965255
GHG	Mt	Transport equipment	0.6854979765800171	2.9039390642108813	1.373379793042714	0.3879951375175351
GHG	Mt	Wholesale, retail & hospitality	0.197856476127059	1.266344993308937	1.0381517389314634	1.5587136579873129
GHG	Mt	Wood, paper & publishing	0.0139879430896747	0.0781804362524483	0.1291056507160588	0.0378263333408097
