component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
domestic_footprint	GHG	Mt	23.54450801842641	25.12955625117941	24.451747943626017	25.950758479605497	23.0935851948686	23.032043422521	23.67901622267725	23.799643395479297	22.311284345089284	19.60557697236565
footprint_gross_exports	GHG	Mt	66.36980959221837	64.30689684512475	64.47828646256679	66.8795860887875	58.69069692492346	59.73761135325898	61.96107278444041	65.20591465392884	54.55299208434497	59.01066555386033
footprint_gross_imports	GHG	Mt	94.3636112099772	96.42504540639747	96.1100944957822	83.08686470839352	78.28837315197654	72.81158060229131	72.32039633753725	77.72658954522684	62.62273835557099	71.22075386699402
household_totals	GHG	Mt	6.720073798513001	6.5608480286537	6.409258240076301	6.4071111771746	6.273190952527499	5.746854288538	5.653619854737701	5.0595670954565	5.108334756507199	5.0689076925398
import_footprint	GHG	Mt	66.80946570384984	69.68046813307423	69.32815007549038	59.39094591315159	56.87614872239157	52.78516949772862	52.42498812149859	54.699144214150415	45.90429347417623	52.24757757708444
production_account	GHG	Mt	62.3601721045174	62.6918758229809	62.148089985901	69.1344257731511	60.3720576902071	62.7432436712173	65.744680791079	65.9781127183317	60.1458315480395	59.6430662363164
production_account_with_households	GHG	Mt	69.0802459030304	69.2527238516346	68.55734822597731	75.54153695032569	66.6452486427346	68.4900979597553	71.3983006458167	71.0376798137882	65.2541663045467	64.7119739288562
total_footprint	GHG	Mt	90.35397372227624	94.81002438425364	93.7798980191164	85.3417043927571	79.96973391726017	75.81721292024962	76.10400434417585	78.4987876096297	68.2155778192655	71.8531545494501
total_footprint_with_households	GHG	Mt	97.07404752078924	101.37087241290732	100.1891562591927	91.7488155699317	86.24292486978767	81.56406720878762	81.75762419891355	83.5583547050862	73.32391257577271	76.92206224198989
