sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	2.3543360526562327	835.1080263032306	106.62349445482612	2253.617168359227	6325.516981399546	29919.07435920828	77021.32119461031	938.5565039653528
Business Services	4.921258254818471	3889.105395618871	973.134705958986	446.4591820393851	21888.103075155137	26105.537942038096	149897.9383827623	11100.072124179287
Construction	11.36283833685125	9462.987164087044	1604.7376128558765	763.3231243692212	44298.29965879018	48522.061321073386	261280.38267456205	33374.14548295671
Electrical & machinery	6.611479824937771	5529.354782964892	374.612018894581	339.8948846694048	38655.72562035924	28971.511682522047	116119.49688187898	26075.347922638677
Electricity, gas & water	2.070737367008949	1450.7234415962273	1372.289993615855	177.6845249845246	15102.3485924654	15968.990798930434	108588.73451998584	2104.700809318035
Food, beverages & tobacco	7.987581342609825	3691.441622473093	855.3066413965275	5375.206019931444	18322.096803953504	95745.9720509394	166315.52629724456	6185.2843273959625
Metal & metal products	2.150710748647084	1814.2042723207571	161.2030392804105	60.73068561574223	6013.657535464377	7888.520319529323	39195.461720362	54325.156435505785
Mining & quarrying	1.3629013317540988	1153.95253121216	39.9093721930739	25.367770687116856	2186.6352553710467	6313.084000962094	21788.84138742054	1484.5126401218477
Other manufacturing & recycl.	3.020865598451729	2455.064094328502	698.1441458038182	208.06400829488803	12182.244706746194	15465.494804341648	55083.63833364677	10364.804363119816
Petroleum, chem & non-met	4.730263201138619	3370.5771961934624	290.5221915480676	318.9517731649653	24935.92305956452	35975.75221400102	239162.2873794163	3744.5126254319407
Public services	7.494460487179174	5759.456470064528	1152.6395088908685	793.8285272683737	31331.77834329904	41854.13053711708	307214.7187770115	14177.30522893799
Recreation; other services	1.1581043372786968	912.6438436515418	202.4752422639092	101.78246752679836	4840.793841215541	5994.537648897091	43159.438607288925	2640.853114930481
Textiles & wearing apparel	2.090549557059386	1516.1551589076714	210.46035806066124	337.8517800552136	9543.311622555037	14577.517627928306	64488.09836906222	2661.772863470931
Transport	3.225614684742619	2925.89540162513	189.8742222491124	149.7393029511464	5134.704569520319	7583.640030589519	39285.39563308647	3276.346776321175
Transport equipment	6.298554852646413	5222.705546509758	396.4175220787061	342.8234908863151	33798.98047462168	27966.335304729564	136187.42129886613	31957.29074586597
Wholesale, retail & hospitality	4.696514787399571	3493.156228467399	917.0511816829692	880.3589042885108	15814.76519919176	28217.751046573587	154332.01500391148	9819.639788554332
Wood, paper & publishing	0.3163837842701987	234.9999930094224	664.6486942877183	40.786057095036426	1114.5826888830036	2087.57993770936	10450.938447581755	557.7267382647168
