component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
domestic_footprint	CH4	t	119173.70920585185	120284.63264829275	117740.92465321576	116581.98927003512	114082.1200931792	114646.32602667974	114195.20945869068	109572.63854988296	112541.60117615032	108302.9807673921
footprint_gross_exports	CH4	t	310075.7148571949	299438.7636140356	277426.2485369527	282498.2329079248	269471.9022789627	226266.31680100565	239271.99662599084	278940.8436790125	211631.57845507504	214199.40796178667
footprint_gross_imports	CH4	t	709988.636579389	737034.2151145765	700964.948833947	651440.7337487865	608304.8791744475	522696.9330886179	544189.534849973	613886.1044686474	470995.07829493145	479738.4645519769
household_totals	CH4	t	22276.9790678	19377.2569288	17648.0862101	18313.1140101	18387.5200561	17742.851959	17765.366095	16207.8559407	17299.9540054	17411.1456367
import_footprint	CH4	t	473874.5394764423	510078.4859930481	497989.2627036785	445536.1244084266	414331.0503820055	366384.0589325325	372592.8021420915	401638.583407452	321696.34777250607	330854.5108596982
production_account	CH4	t	193135.3269601	192767.6671408	192191.4870599	193175.6128376	189580.1935797	184599.7686716	181870.4733768	176265.9611677	174874.44910879998	173618.43503690002
production_account_with_households	CH4	t	215412.3060279	212144.9240696	209839.57327	211488.7268477	207967.7136358	202342.6206306	199635.8394718	192473.8171084	192174.4031142	191029.5806736
total_footprint	CH4	t	593048.2486822942	630363.1186413409	615730.1873568943	562118.1136784618	528413.1704751847	481030.3849592122	486788.0116007822	511211.22195733496	434237.9489486564	439157.4916270903
total_footprint_with_households	CH4	t	615325.2277500941	649740.3755701409	633378.2735669942	580431.2276885618	546800.6905312847	498773.2369182122	504553.3776957822	527419.077898035	451537.9029540564	456568.63726379024
