component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
domestic_footprint	CO2	kt	18249.515081920083	19744.50226483941	19200.73698288076	20822.271203919703	18028.797295651304	17878.57610153236	18533.59001640693	18817.31701913191	17275.51138128691	14739.375798127045
footprint_gross_exports	CO2	kt	54809.60859477393	53109.591734590496	53743.9213261497	56202.28701299721	48505.37202405214	50922.20698573558	52817.65917990574	54835.7060032709	46483.40014821618	50629.309121428174
footprint_gross_imports	CO2	kt	68303.92805506279	69581.88024648237	69705.74090197838	58916.77277415277	55380.98336748656	52625.906807126405	51543.41908289771	55003.36772628778	44608.97656830392	52393.02466606187
household_totals	CO2	kt	5779.557582	5695.3962149	5594.2951167	5549.9009639	5409.8513217	4915.2027418	4830.4292278	4295.9582283	4330.6276644	4323.8071776
import_footprint	CO2	kt	49012.82751426878	50788.16407385245	50336.4738727479	42500.28170983586	40836.89609428312	38369.10539105845	37825.86854638505	39353.16472558499	33252.23130140081	38978.155371206645
production_account	CO2	kt	53768.0231359	54060.3778268	53575.3912798	60608.0671526	51990.0820465	54543.9816712	57633.69865979999	58002.820021700005	52402.1662626	51953.8156247
production_account_with_households	CO2	kt	59547.5807179	59755.7740417	59169.6863965	66157.96811650001	57399.9333682	59459.184413	62464.12788759999	62298.77825	56732.793927000006	56277.6228023
total_footprint	CO2	kt	67262.34259618886	70532.66633869185	69537.21085562865	63322.55291375556	58865.69338993442	56247.68149259081	56359.45856279198	58170.4817447169	50527.74268268773	53717.53116933369
total_footprint_with_households	CO2	kt	73041.90017818885	76228.06255359185	75131.50597232865	68872.45387765556	64275.54471163442	61162.88423439081	61189.88779059198	62466.439973016895	54858.37034708773	58041.33834693369
