sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	1.872807916860977	1307.3155857887637	138.3035191221553	587.2118489221872	3863.874327204001	13209.791560474629	33783.03058473038	2360.1225026085995
Business Services	1.0267020636193305	807.4919039929425	182.1936183891807	101.28859276266208	3955.224690482529	5698.385765570567	26366.110564038438	2492.545853785332
Construction	0.0667589397275759	55.13646132045433	8.647316564642004	4.947745914883864	217.3477421331896	302.508705095246	1459.3729865475989	164.3612683297122
Electrical & machinery	1.972824468111401	1566.046195536288	141.49482618345098	105.85671643542094	9850.119574163871	11076.828001390377	41564.1536835895	17160.78542304201
Electricity, gas & water	0.3852424505304431	221.576670306438	83.49502432255754	33.37890541989867	3654.587652816471	4092.3558479088206	36219.55407406319	360.2648194054624
Food, beverages & tobacco	2.379787124341547	1099.1238896301145	195.9469558792437	1581.6436696047567	4369.170610402804	29041.328587561507	42078.34356506002	1922.9476389879424
Metal & metal products	6.395026864301261	5413.311385493542	279.1300166100441	122.01690440570364	15103.722808808936	24784.018429523945	84561.86885126807	155762.8914534626
Mining & quarrying	13.523519403438089	12421.099069648148	241.98259721754897	239.2814875050314	10916.749796025098	33451.69953432138	76767.90045575632	14678.502388334684
Other manufacturing & recycl.	0.2324612211927446	180.3993679322166	33.29653548028289	18.833407199640558	960.1084933142728	1378.6352740910063	5703.288011327459	1805.8161734334485
Petroleum, chem & non-met	6.743636874382244	5086.762661156055	376.9120032640043	604.0020200700434	14267.258324380562	47275.76651579779	154611.62298752097	4213.334153388082
Public services	0.0264204030857934	20.37576468025221	3.714987175454459	3.399961418334972	96.853261024446	145.42278952068443	919.2205083334628	55.736753745545634
Recreation; other services	0.0159709752651135	12.285404218074294	2.316446857470456	1.6421235923477848	67.07813530474668	89.33489500133606	642.4698744365901	39.4832252884823
Textiles & wearing apparel	0.0847472237390026	53.05501303855838	7.320050866530072	27.81376489910753	324.90136064807984	764.1794646812322	2335.467242595797	264.1693878623698
Transport	17.553654455666063	16506.95729509529	398.03577752663887	644.4749949920425	12161.935343265712	26448.800899817936	117901.21979327244	5281.706566434018
Transport equipment	0.6551462017680313	522.6442384612966	42.05369504446959	35.97751660900806	2737.482658965705	3614.491206163219	13840.142960484633	5184.542013327104
Wholesale, retail & hospitality	1.1675921740808	904.7844855238428	195.01910061539968	162.06924842896274	3520.0663677502525	6001.397604299561	46062.34900469638	2237.7894304473275
Wood, paper & publishing	0.450693324234551	305.0347563939053	560.327249445849	46.88462975488265	1399.5325045177717	4256.633373855786	11619.1604419439	1029.7135411781526
