sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	1.7686265397340752	1246.4419898760457	149.43774367542244	534.7773272511012	4149.693828998989	12088.033443841165	35698.91174255082	2155.016137385594
Business Services	1.1009370879683016	871.8782861605671	224.43714046405324	107.64626064986244	4580.64499835782	5882.587367574243	28526.209135586243	2713.242309498816
Construction	0.0666881864999394	55.54476279867117	9.465470970897773	4.492360837007263	253.50601231096803	284.71890808015763	1532.5409158779726	194.77172502794784
Electrical & machinery	1.8904716517640736	1550.3516329843596	159.64432316333864	108.89373682110566	9696.921045526233	8887.447775690955	39544.17663089995	13173.543126349674
Electricity, gas & water	0.7032765052868426	490.0412574479691	262.98315993779033	53.085861916659965	7385.3497675771105	5477.834068839176	37824.63136432001	578.1593715644544
Food, beverages & tobacco	2.4850056477637925	1140.3681307707434	231.7066535312796	1667.33204065844	4942.780124500901	30347.52787108394	46135.4507239415	1985.514979768644
Metal & metal products	5.473069204852231	4705.409072488284	395.3997524989679	112.92263213996064	11693.342267667223	16986.723886914708	80137.21645937764	170276.80728619764
Mining & quarrying	15.318026020699056	14099.581660442323	422.1201686046268	274.7141706450053	14135.516162741	36311.38281529723	99157.0427324216	15633.827312311118
Other manufacturing & recycl.	0.2207676616851523	177.9149418707675	40.27396317868431	15.724178479679331	890.1210568948209	1111.8928564584694	5157.55351518596	1505.137964351867
Petroleum, chem & non-met	7.96964506104322	6156.128133221223	454.4062080296249	640.4375985961968	23865.71229722217	48954.36126181424	237806.34869787263	11406.787868109604
Public services	0.026364900360246	20.52000573753489	4.614385098870233	3.442145349371887	97.81324789223422	138.3956507290426	898.9918286846765	60.84280813751444
Recreation; other services	0.0145996828795153	11.443979715269696	2.570450876614917	1.329032179571011	61.37021706207181	73.8247361624529	639.8759767017099	35.17083034705715
Textiles & wearing apparel	0.0764977602850979	53.06051709636272	8.19073671016701	18.10994799145192	287.434675581297	572.8010549735236	1990.2351535610928	322.0076025994243
Transport	19.33488191001287	18067.940326448665	402.8903813115315	691.2241728385811	18798.97400231806	32365.90655907684	151874.51448752714	6848.305617980151
Transport equipment	0.8214285382801855	675.6804018451709	62.68837908483914	49.8558171385038	3406.4163216659863	3717.603662100846	17799.511759684465	7237.5142731371325
Wholesale, retail & hospitality	1.2850550212871812	996.0631906959584	261.09076292866496	173.8629828532842	4120.625421838504	6754.673398409606	46993.51564927583	2673.143908519455
Wood, paper & publishing	0.4553241734585496	310.94083182825824	559.013192831977	40.922725666730216	1412.1322794053517	4243.692644740069	12409.138791365378	894.1542051150655
