component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
domestic_footprint	HFC	t CO2-eq	498242.0381336088	558759.0198997194	528538.052982368	451920.6086966544	488931.4900946849	527823.082553814	518074.9715270943	488219.0142741326	432040.15298696107	358129.84308518574
footprint_gross_exports	HFC	t CO2-eq	932387.3608136412	999562.4177738762	989233.023229152	844097.7021159722	795819.1841198548	867389.6691458258	855678.2431728741	813907.767400856	696435.2755896652	844125.8655648346
footprint_gross_imports	HFC	t CO2-eq	2173580.9884873736	2433434.475529107	2460696.11923904	2055192.2058574136	2029357.6095538207	2242499.0521685355	2292723.415127829	2106179.8084520837	2014790.7877751524	2378122.6796548325
household_totals	HFC	t CO2-eq	234099.4590891	240954.0888163	248324.3044845	252171.5909913	252835.8174767	244053.2373985	233152.3546527	226065.7347034	208481.981516	172847.7907292
import_footprint	HFC	t CO2-eq	1488338.848462524	1701800.096035811	1722215.2130993202	1416402.3329775871	1442081.548222281	1575819.1067858958	1625281.1027364612	1452484.9316871944	1427629.830364626	1631441.8118235124
production_account	HFC	t CO2-eq	745387.2589224	826687.0581803	779290.1700718	657228.4379328	697474.612883	728532.806317	706310.9023086	648431.9049101	541314.4711661	455574.8408187
production_account_with_households	HFC	t CO2-eq	979486.7180115	1067641.1469966	1027614.4745563	909400.0289241	950310.4303597	972586.0437155	939463.2569613	874497.6396135001	749796.4526821	628422.6315479
total_footprint	HFC	t CO2-eq	1986580.8865961328	2260559.11593553	2250753.266081688	1868322.9416742416	1931013.038316966	2103642.18933971	2143356.0742635555	1940703.945961327	1859669.9833515876	1989571.6549086983
total_footprint_with_households	HFC	t CO2-eq	2220680.345685233	2501513.20475183	2499077.570566188	2120494.532665542	2183848.855793666	2347695.42673821	2376508.4289162555	2166769.680664727	2068151.9648675872	2162419.4456378985
