sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	2.18946827752955	1241.1619586260044	148.50404168017542	1780.335423072988	11114.051914637486	11610.611668574573	138998.79066058996	1307.4624938880706
Business Services	2.9957718467282737	2321.746727475568	397.4705896879693	287.92925260452967	12036.127493892694	17635.353814836773	88131.36978414995	3766.463219033382
Construction	0.1380928194176973	113.15912648949022	6.574075900993766	5.8776658601315335	2309.002080626029	604.9213330400673	3423.059655010029	706.2524145143636
Electrical & machinery	15.493983027245628	13030.444596034222	743.2094001549812	743.3290144305859	94113.11668286438	66369.17892203912	259697.75843605227	54408.35745130798
Electricity, gas & water	1.648005975405599	1214.913890063127	2009.057833330228	128.87578274755452	5638.271837828435	12017.898850858352	55702.92847397	1097.6347785348323
Food, beverages & tobacco	4.515374665727794	2119.5496119804448	623.1591064109709	3058.667677449925	13433.435445105126	51850.28481659569	116788.8030612967	3247.905852038221
Metal & metal products	6.429052765593797	5153.008508564755	453.5198123246961	226.55953231539365	26272.976787569885	33010.17098353326	162443.6442864207	103004.57235253588
Mining & quarrying	3.166508972119737	1044.5051142965144	131.00521768256772	74.00234377093581	20201.37313263098	64840.49966239469	261686.64321750123	4971.229826738658
Other manufacturing & recycl.	4.958591888484019	4023.679271204991	1139.0957520296702	338.7656235698927	19951.326275403742	25970.776096022884	85029.98965634925	12976.680412610142
Petroleum, chem & non-met	15.3967215532377	10839.11371896256	1049.6975972031962	911.630498989526	92378.03853793452	119670.31857065394	861820.9791656934	11057.814360976046
Public services	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Recreation; other services	0.0952126773274144	73.18218785488808	9.054887213484513	9.013693869276606	346.0681693255091	626.2352407814969	1656.959746458917	104.24593950175012
Textiles & wearing apparel	2.713885821992556	1971.47823746487	272.5546542018517	430.8591113832895	12471.910383494313	18871.11622253045	84213.40146808342	3153.353928681446
Transport	2.4303833802873243	2044.037376018365	120.7831299093476	165.0959227065856	6283.612333297406	10848.860467839784	30177.183220971157	2366.6960979323453
Transport equipment	6.300766730295749	5233.559824236276	374.1707694063001	338.2364657430518	35585.20366280576	27888.39646957813	136310.7889043381	24803.1489222318
Wholesale, retail & hospitality	1.0307522216543945	627.9203232534469	231.84083460952925	421.7228648766883	3307.44541790168	9525.456272307085	20340.288511115275	714.829655011107
Wood, paper & publishing	1.718181243946772	1341.56419353635	3118.607298967356	229.65618650947224	6870.694855798325	8398.385160390553	71700.0914068322	2032.5902318442136
