emission	unit	Advanced	Developing	Europe	Norway
Biomass CO2	kt	268.779415411536	1668.325302110008	3959.0863715652304	4183.905812750449
CH4	t	23719.932835992084	215762.41815423896	74895.27082007725	137160.2811437482
CO2	kt	2961.8799084025068	19866.247268814204	10155.574113434222	21874.669056436804
GHG	Mt	3.849471526451295	27.953009833292427	13.613329265403626	27.90810195062536
HFC	t CO2-eq	65157.97461435245	919963.6764117096	437414.7426697957	645615.57117173
N2O	t	447.4530551366579	3298.281986779547	3252.539162442627	5510.354879906841
PFC	t CO2-eq	15387.63783046573	85767.62461225367	29817.451856597327	25540.58813629276
SF6_NF3	t CO2-eq	24312.82658497674	165638.8286389894	31532.49643355336	61544.81968027001
