emission	unit	Advanced	Developing	Europe	Norway
Biomass CO2	kt	278.1953170255307	2044.0477026956603	5971.711605207724	4421.214883487051
CH4	t	21081.287666124525	237901.4079607354	65850.96344571961	131734.9781912108
CO2	kt	3671.052015120564	24354.57302785632	10756.946497082	19258.766806874817
GHG	Mt	4.563273721348676	33.51175102928931	13.792813739293416	25.054223752058498
HFC	t CO2-eq	110364.11858892984	1157276.1308954002	358845.3433167874	535933.852836781
N2O	t	537.1099715923589	3900.646066759532	2935.2964168771223	5474.412731158302
PFC	t CO2-eq	15055.596940699465	100189.16837154636	28331.376390458598	71211.88678827461
SF6_NF3	t CO2-eq	34191.793575020754	204802.0715741758	27009.99555158683	49012.4424477721
