year	component	emission	sector	value	unit
2012	total_footprint	Biomass CO2	Fish and other fishing products; aquaculture products; support services to fishing	40.85795140380334	kt
2012	total_footprint	Biomass CO2	Mining and quarrying	66.78650991428857	kt
2012	total_footprint	Biomass CO2	Food products, beverages and tobacco products	777.1335401098665	kt
2012	total_footprint	Biomass CO2	Textiles, wearing apparel and leather products	132.8058651558842	kt
2012	total_footprint	Biomass CO2	Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials	26.935635749805904	kt
2012	total_footprint	Biomass CO2	Paper and paper products	458.15726546106623	kt
2012	total_footprint	Biomass CO2	Printing and recording services	2.9846011788630515	kt
2012	total_footprint	Biomass CO2	Coke and refined petroleum products	0.0	kt
2012	total_footprint	Biomass CO2	Chemicals and chemical products	0.0	kt
2012	total_footprint	Biomass CO2	Basic pharmaceutical products and pharmaceutical preparations	196.25771884772982	kt
2012	total_footprint	Biomass CO2	Rubber and plastics products	31.59245992689138	kt
2012	total_footprint	Biomass CO2	Other non-metallic mineral products	22.470548953956424	kt
2012	total_footprint	Biomass CO2	Basic metals	11.808116313426483	kt
2012	total_footprint	Biomass CO2	Fabricated metal products, except machinery and equipment	25.769818158470656	kt
2012	total_footprint	Biomass CO2	Computer, electronic and optical products	214.48394870409206	kt
2012	total_footprint	Biomass CO2	Electrical equipment	57.13797052750745	kt
2012	total_footprint	Biomass CO2	Machinery and equipment n.e.c.	101.35554065725819	kt
2012	total_footprint	Biomass CO2	Motor vehicles, trailers and semi-trailers	139.02056664888366	kt
2012	total_footprint	Biomass CO2	Other transport equipment	174.85228340055357	kt
2012	total_footprint	Biomass CO2	Furniture; other manufactured goods	549.824954416383	kt
2012	total_footprint	Biomass CO2	Repair and installation services of machinery and equipment	16.025474598191373	kt
2012	total_footprint	Biomass CO2	Electricity, gas, steam and air-conditioning	332.98560382280056	kt
2012	total_footprint	Biomass CO2	Natural water; water treatment and supply services	8.297624674692244	kt
2012	total_footprint	Biomass CO2	Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services	35.64077181927916	kt
2012	total_footprint	Biomass CO2	Constructions and construction works	1146.2910504556926	kt
2012	total_footprint	Biomass CO2	Wholesale and retail trade and repair services of motor vehicles and motorcycles	154.3014079063962	kt
2012	total_footprint	Biomass CO2	Wholesale trade services, except of motor vehicles and motorcycles	352.6087555007946	kt
2012	total_footprint	Biomass CO2	Retail trade services, except of motor vehicles and motorcycles	171.7429241177425	kt
2012	total_footprint	Biomass CO2	Land transport services and transport services via pipelines	84.7897155437208	kt
2012	total_footprint	Biomass CO2	Water transport services	27.161352760108883	kt
2012	total_footprint	Biomass CO2	Air transport services	28.233938404306468	kt
2012	total_footprint	Biomass CO2	Warehousing and support services for transportation	80.26911167029863	kt
2012	total_footprint	Biomass CO2	Postal and courier services	16.068358131945505	kt
2012	total_footprint	Biomass CO2	Accommodation and food services	517.1466227073037	kt
2012	total_footprint	Biomass CO2	Publishing services	65.18738934424732	kt
2012	total_footprint	Biomass CO2	Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services	34.27009531971336	kt
2012	total_footprint	Biomass CO2	Telecommunications services	40.253608392238874	kt
2012	total_footprint	Biomass CO2	Computer programming, consultancy and related services; information services	69.6517106423247	kt
2012	total_footprint	Biomass CO2	Financial services, except insurance and pension funding	26.813742951631962	kt
2012	total_footprint	Biomass CO2	Insurance, reinsurance and pension funding services, except compulsory social security	15.495416558677874	kt
