year	component	emission	value	unit
2013	import_footprint	CO2	50788.164073852444	kt
2013	import_footprint	CH4	510078.4859930481	t
2013	import_footprint	N2O	9285.916189465386	t
2013	import_footprint	HFC	1701800.096035811	t CO2-eq
2013	import_footprint	PFC	157707.1392170972	t CO2-eq
2013	import_footprint	SF6_NF3	289831.42595517344	t CO2-eq
2013	production_account	GHG	62.6918758229809	Mt
2013	production_account	Biomass CO2	2913.477007	kt
2013	production_account	CO2	54060.377826799995	kt
2013	production_account	CH4	192767.6671408	t
2013	production_account	N2O	8272.9921615	t
2013	production_account	HFC	826687.0581803	t CO2-eq
2013	production_account	PFC	162777.4831457	t CO2-eq
2013	production_account	SF6_NF3	52195.852115	t CO2-eq
2013	total_footprint	GHG	94.81002438425364	Mt
2013	total_footprint	Biomass CO2	8273.029905198466	kt
2013	total_footprint	CO2	70532.66633869185	kt
2013	total_footprint	CH4	630363.1186413409	t
2013	total_footprint	N2O	14603.372318487696	t
2013	total_footprint	HFC	2260559.11593553	t CO2-eq
2013	total_footprint	PFC	169492.5651613866	t CO2-eq
2013	total_footprint	SF6_NF3	327245.3781080478	t CO2-eq
2013	total_footprint_with_households	GHG	101.37087241290733	Mt
2013	total_footprint_with_households	Biomass CO2	10365.637719898466	kt
2013	total_footprint_with_households	CO2	76228.06255359185	kt
2013	total_footprint_with_households	CH4	649740.3755701409	t
2013	total_footprint_with_households	N2O	14893.907318187696	t
2013	total_footprint_with_households	HFC	2501513.20475183	t CO2-eq
2013	total_footprint_with_households	PFC	169492.5651613866	t CO2-eq
2013	total_footprint_with_households	SF6_NF3	332188.13411854784	t CO2-eq
2013	production_account_with_households	GHG	69.2527238516346	Mt
2013	production_account_with_households	Biomass CO2	5006.0848217	kt
2013	production_account_with_households	CO2	59755.774041699995	kt
2013	production_account_with_households	CH4	212144.9240696	t
2013	production_account_with_households	N2O	8563.5271612	t
2013	production_account_with_households	HFC	1067641.1469966	t CO2-eq
2013	production_account_with_households	PFC	162777.4831457	t CO2-eq
2013	production_account_with_households	SF6_NF3	57138.6081255	t CO2-eq
2013	household_totals	GHG	6.5608480286537	Mt
2013	household_totals	Biomass CO2	2092.6078147	kt
2013	household_totals	CO2	5695.3962149	kt
2013	household_totals	CH4	19377.2569288	t
2013	household_totals	N2O	290.5349997	t
2013	household_totals	HFC	240954.0888163	t CO2-eq
2013	household_totals	PFC	0.0	t CO2-eq
2013	household_totals	SF6_NF3	4942.7560105	t CO2-eq
2014	domestic_footprint	GHG	24.451747943626017	Mt
2014	domestic_footprint	Biomass CO2	1226.9005787617648	kt
2014	domestic_footprint	CO2	19200.736982880757	kt
2014	domestic_footprint	CH4	117740.92465321577	t
2014	domestic_footprint	N2O	5213.436368685356	t
2014	domestic_footprint	HFC	528538.052982368	t CO2-eq
2014	domestic_footprint	PFC	12492.132912812112	t CO2-eq
2014	domestic_footprint	SF6_NF3	31674.246858417824	t CO2-eq
2014	footprint_gross_exports	GHG	64.47828646256679	Mt
2014	footprint_gross_exports	Biomass CO2	2391.3102389155592	kt
2014	footprint_gross_exports	CO2	53743.9213261497	kt
2014	footprint_gross_exports	CH4	277426.2485369527	t
2014	footprint_gross_exports	N2O	5948.41061495299	t
2014	footprint_gross_exports	HFC	989233.023229152	t CO2-eq
2014	footprint_gross_exports	PFC	270649.2373946103	t CO2-eq
2014	footprint_gross_exports	SF6_NF3	130219.1037960862	t CO2-eq
2014	footprint_gross_imports	GHG	96.11009449578219	Mt
2014	footprint_gross_imports	Biomass CO2	7799.330594119384	kt
2014	footprint_gross_imports	CO2	69705.74090197838	kt
2014	footprint_gross_imports	CH4	700964.948833947	t
2014	footprint_gross_imports	N2O	13707.57084432289	t
2014	footprint_gross_imports	HFC	2460696.11923904	t CO2-eq
2014	footprint_gross_imports	PFC	277671.2205846647	t CO2-eq
2014	footprint_gross_imports	SF6_NF3	406461.41288402263	t CO2-eq
2014	import_footprint	GHG	69.32815007549038	Mt
2014	import_footprint	Biomass CO2	6053.34346544206	kt
2014	import_footprint	CO2	50336.4738727479	kt
2014	import_footprint	CH4	497989.2627036785	t
2014	import_footprint	N2O	10869.195817784544	t
2014	import_footprint	HFC	1722215.2130993202	t CO2-eq
2014	import_footprint	PFC	155413.32324074235	t CO2-eq
2014	import_footprint	SF6_NF3	290011.4189865186	t CO2-eq
2014	production_account	GHG	62.148089985901	Mt
2014	production_account	Biomass CO2	1872.2236890000001	kt
2014	production_account	CO2	53575.3912798	kt
2014	production_account	CH4	192191.48705989998	t
2014	production_account	N2O	8323.4719571	t
2014	production_account	HFC	779290.1700718	t CO2-eq
2014	production_account	PFC	160883.47296349998	t CO2-eq
2014	production_account	SF6_NF3	45443.356757	t CO2-eq
2014	total_footprint	GHG	93.7798980191164	Mt
2014	total_footprint	Biomass CO2	7280.244044203825	kt
2014	total_footprint	CO2	69537.21085562865	kt
2014	total_footprint	CH4	615730.1873568943	t
2014	total_footprint	N2O	16082.632186469902	t
2014	total_footprint	HFC	2250753.266081688	t CO2-eq
2014	total_footprint	PFC	167905.45615355446	t CO2-eq
2014	total_footprint	SF6_NF3	321685.66584493645	t CO2-eq
2014	total_footprint_with_households	GHG	100.1891562591927	Mt
2014	total_footprint_with_households	Biomass CO2	9108.421100703825	kt
2014	total_footprint_with_households	CO2	75131.50597232865	kt
2014	total_footprint_with_households	CH4	633378.2735669942	t
2014	total_footprint_with_households	N2O	16337.723041369902	t
2014	total_footprint_with_households	HFC	2499077.570566188	t CO2-eq
2014	total_footprint_with_households	PFC	167905.45615355446	t CO2-eq
2014	total_footprint_with_households	SF6_NF3	326578.99430543644	t CO2-eq
2014	production_account_with_households	GHG	68.55734822597731	Mt
2014	production_account_with_households	Biomass CO2	3700.4007455	kt
2014	production_account_with_households	CO2	59169.6863965	kt
2014	production_account_with_households	CH4	209839.57327	t
2014	production_account_with_households	N2O	8578.562812	t
2014	production_account_with_households	HFC	1027614.4745563	t CO2-eq
2014	production_account_with_households	PFC	160883.47296349998	t CO2-eq
2014	production_account_with_households	SF6_NF3	50336.6852175	t CO2-eq
2014	household_totals	GHG	6.409258240076301	Mt
2014	household_totals	Biomass CO2	1828.1770565	kt
2014	household_totals	CO2	5594.2951167	kt
2014	household_totals	CH4	17648.0862101	t
2014	household_totals	N2O	255.0908549	t
2014	household_totals	HFC	248324.3044845	t CO2-eq
2014	household_totals	PFC	0.0	t CO2-eq
2014	household_totals	SF6_NF3	4893.3284605	t CO2-eq
2015	domestic_footprint	GHG	25.950758479605497	Mt
2015	domestic_footprint	Biomass CO2	1385.3432412741138	kt
2015	domestic_footprint	CO2	20822.271203919703	kt
2015	domestic_footprint	CH4	116581.98927003512	t
2015	domestic_footprint	N2O	5170.948406764643	t
2015	domestic_footprint	HFC	451920.6086966544	t CO2-eq
2015	domestic_footprint	PFC	9847.31965970682	t CO2-eq
2015	domestic_footprint	SF6_NF3	32122.319975823946	t CO2-eq
2015	footprint_gross_exports	GHG	66.8795860887875	Mt
2015	footprint_gross_exports	Biomass CO2	2557.57509602588	kt
2015	footprint_gross_exports	CO2	56202.28701299721	kt
2015	footprint_gross_exports	CH4	282498.2329079248	t
2015	footprint_gross_exports	N2O	5927.326713648648	t
2015	footprint_gross_exports	HFC	844097.7021159722	t CO2-eq
2015	footprint_gross_exports	PFC	229827.2318044001	t CO2-eq
2015	footprint_gross_exports	SF6_NF3	122682.04133115445	t CO2-eq
2015	footprint_gross_imports	GHG	83.08686470839352	Mt
2015	footprint_gross_imports	Biomass CO2	7727.745627981789	kt
2015	footprint_gross_imports	CO2	58916.77277415277	kt
2015	footprint_gross_imports	CH4	651440.7337487865	t
2015	footprint_gross_imports	N2O	12316.09102460442	t
2015	footprint_gross_imports	HFC	2055192.2058574138	t CO2-eq
2015	footprint_gross_imports	PFC	237882.10361724385	t CO2-eq
2015	footprint_gross_imports	SF6_NF3	372912.9582799029	t CO2-eq
2015	import_footprint	GHG	59.39094591315159	Mt
2015	import_footprint	Biomass CO2	5880.284726581796	kt
2015	import_footprint	CO2	42500.28170983586	kt
2015	import_footprint	CH4	445536.12440842664	t
2015	import_footprint	N2O	9836.343107891133	t
2015	import_footprint	HFC	1416402.3329775871	t CO2-eq
2015	import_footprint	PFC	129835.15945313705	t CO2-eq
2015	import_footprint	SF6_NF3	262784.3038579245	t CO2-eq
2015	production_account	GHG	69.1344257731511	Mt
2015	production_account	Biomass CO2	2095.4574359000003	kt
2015	production_account	CO2	60608.0671526	kt
2015	production_account	CH4	193175.6128376	t
2015	production_account	N2O	8618.5272037	t
2015	production_account	HFC	657228.4379328	t CO2-eq
2015	production_account	PFC	131627.6073	t CO2-eq
2015	production_account	SF6_NF3	44675.706885	t CO2-eq
2015	total_footprint	GHG	85.3417043927571	Mt
2015	total_footprint	Biomass CO2	7265.627967855909	kt
2015	total_footprint	CO2	63322.55291375556	kt
2015	total_footprint	CH4	562118.1136784618	t
2015	total_footprint	N2O	15007.291514655773	t
2015	total_footprint	HFC	1868322.9416742418	t CO2-eq
2015	total_footprint	PFC	139682.47911284387	t CO2-eq
2015	total_footprint	SF6_NF3	294906.6238337484	t CO2-eq
2015	total_footprint_with_households	GHG	91.7488155699317	Mt
2015	total_footprint_with_households	Biomass CO2	9223.07469475591	kt
2015	total_footprint_with_households	CO2	68872.45387765556	kt
2015	total_footprint_with_households	CH4	580431.2276885618	t
2015	total_footprint_with_households	N2O	15261.186724755773	t
2015	total_footprint_with_households	HFC	2120494.532665542	t CO2-eq
2015	total_footprint_with_households	PFC	139682.47911284387	t CO2-eq
2015	total_footprint_with_households	SF6_NF3	319895.8231577484	t CO2-eq
2015	production_account_with_households	GHG	75.54153695032569	Mt
2015	production_account_with_households	Biomass CO2	4052.9041628000004	kt
2015	production_account_with_households	CO2	66157.96811650001	kt
2015	production_account_with_households	CH4	211488.7268477	t
2015	production_account_with_households	N2O	8872.422413799999	t
2015	production_account_with_households	HFC	909400.0289241001	t CO2-eq
2015	production_account_with_households	PFC	131627.6073	t CO2-eq
2015	production_account_with_households	SF6_NF3	69664.90620900001	t CO2-eq
2015	household_totals	GHG	6.4071111771746	Mt
2015	household_totals	Biomass CO2	1957.4467269	kt
2015	household_totals	CO2	5549.9009639	kt
2015	household_totals	CH4	18313.1140101	t
2015	household_totals	N2O	253.8952101	t
2015	household_totals	HFC	252171.5909913	t CO2-eq
2015	household_totals	PFC	0.0	t CO2-eq
2015	household_totals	SF6_NF3	24989.199324	t CO2-eq
2016	domestic_footprint	GHG	23.0935851948686	Mt
2016	domestic_footprint	Biomass CO2	1627.347914853412	kt
2016	domestic_footprint	CO2	18028.797295651304	kt
2016	domestic_footprint	CH4	114082.12009317921	t
2016	domestic_footprint	N2O	5062.325464388285	t
2016	domestic_footprint	HFC	488931.4900946849	t CO2-eq
2016	domestic_footprint	PFC	12607.265973613863	t CO2-eq
2016	domestic_footprint	SF6_NF3	27433.532477086213	t CO2-eq
2016	footprint_gross_exports	GHG	58.69069692492346	Mt
2016	footprint_gross_exports	Biomass CO2	2529.034601677998	kt
2016	footprint_gross_exports	CO2	48505.37202405214	kt
2016	footprint_gross_exports	CH4	269471.9022789627	t
2016	footprint_gross_exports	N2O	5507.588236324246	t
2016	footprint_gross_exports	HFC	795819.1841198548	t CO2-eq
2016	footprint_gross_exports	PFC	286203.96750148834	t CO2-eq
2016	footprint_gross_exports	SF6_NF3	98577.60281311475	t CO2-eq
2016	footprint_gross_imports	GHG	78.28837315197654	Mt
2016	footprint_gross_imports	Biomass CO2	7704.511389991554	kt
2016	footprint_gross_imports	CO2	55380.98336748656	kt
2016	footprint_gross_imports	CH4	608304.8791744475	t
2016	footprint_gross_imports	N2O	12235.489865215786	t
2016	footprint_gross_imports	HFC	2029357.6095538212	t CO2-eq
2016	footprint_gross_imports	PFC	274336.3032099044	t CO2-eq
2016	footprint_gross_imports	SF6_NF3	328754.4405595544	t CO2-eq
2016	import_footprint	GHG	56.87614872239157	Mt
2016	import_footprint	Biomass CO2	5905.952157760144	kt
2016	import_footprint	CO2	40836.89609428312	kt
2016	import_footprint	CH4	414331.0503820055	t
2016	import_footprint	N2O	9856.294923703255	t
2016	import_footprint	HFC	1442081.548222281	t CO2-eq
2016	import_footprint	PFC	142928.91990480202	t CO2-eq
2016	import_footprint	SF6_NF3	241054.59450385338	t CO2-eq
2016	production_account	GHG	60.3720576902071	Mt
2016	production_account	Biomass CO2	2357.8232843	kt
2016	production_account	CO2	51990.0820465	kt
2016	production_account	CH4	189580.1935797	t
2016	production_account	N2O	8190.7187592	t
2016	production_account	HFC	697474.612883	t CO2-eq
2016	production_account	PFC	167403.85017	t CO2-eq
2016	production_account	SF6_NF3	38311.2892345	t CO2-eq
2016	total_footprint	GHG	79.96973391726017	Mt
2016	total_footprint	Biomass CO2	7533.300072613556	kt
2016	total_footprint	CO2	58865.69338993442	kt
2016	total_footprint	CH4	528413.1704751847	t
2016	total_footprint	N2O	14918.62038809154	t
2016	total_footprint	HFC	1931013.038316966	t CO2-eq
2016	total_footprint	PFC	155536.18587841588	t CO2-eq
2016	total_footprint	SF6_NF3	268488.1269809396	t CO2-eq
2016	total_footprint_with_households	GHG	86.24292486978767	Mt
2016	total_footprint_with_households	Biomass CO2	9663.664963213556	kt
2016	total_footprint_with_households	CO2	64275.54471163442	kt
2016	total_footprint_with_households	CH4	546800.6905312847	t
2016	total_footprint_with_households	N2O	15186.22017839154	t
2016	total_footprint_with_households	HFC	2183848.855793666	t CO2-eq
2016	total_footprint_with_households	PFC	155536.18587841588	t CO2-eq
2016	total_footprint_with_households	SF6_NF3	293227.4343314396	t CO2-eq
2016	production_account_with_households	GHG	66.6452486427346	Mt
2016	production_account_with_households	Biomass CO2	4488.1881749	kt
2016	production_account_with_households	CO2	57399.9333682	kt
2016	production_account_with_households	CH4	207967.7136358	t
2016	production_account_with_households	N2O	8458.3185495	t
2016	production_account_with_households	HFC	950310.4303597	t CO2-eq
2016	production_account_with_households	PFC	167403.85017	t CO2-eq
2016	production_account_with_households	SF6_NF3	63050.596585	t CO2-eq
2016	household_totals	GHG	6.273190952527499	Mt
2016	household_totals	Biomass CO2	2130.3648906	kt
2016	household_totals	CO2	5409.8513217	kt
2016	household_totals	CH4	18387.5200561	t
2016	household_totals	N2O	267.5997903	t
2016	household_totals	HFC	252835.8174767	t CO2-eq
2016	household_totals	PFC	0.0	t CO2-eq
2016	household_totals	SF6_NF3	24739.3073505	t CO2-eq
2017	domestic_footprint	GHG	23.032043422521	Mt
2017	domestic_footprint	Biomass CO2	1983.4940990058735	kt
2017	domestic_footprint	CO2	17878.57610153236	kt
2017	domestic_footprint	CH4	114646.32602667974	t
2017	domestic_footprint	N2O	5207.042126197701	t
2017	domestic_footprint	HFC	527823.082553814	t CO2-eq
2017	domestic_footprint	PFC	10417.883147483073	t CO2-eq
2017	domestic_footprint	SF6_NF3	25263.063097918213	t CO2-eq
2017	footprint_gross_exports	GHG	59.737611353258984	Mt
2017	footprint_gross_exports	Biomass CO2	2721.114020259597	kt
2017	footprint_gross_exports	CO2	50922.20698573558	kt
2017	footprint_gross_exports	CH4	226266.31680100565	t
2017	footprint_gross_exports	N2O	4883.241467406527	t
2017	footprint_gross_exports	HFC	867389.6691458258	t CO2-eq
2017	footprint_gross_exports	PFC	225390.75142517017	t CO2-eq
2017	footprint_gross_exports	SF6_NF3	93108.0876615073	t CO2-eq
2017	footprint_gross_imports	GHG	72.81158060229131	Mt
2017	footprint_gross_imports	Biomass CO2	8290.00002864645	kt
2017	footprint_gross_imports	CO2	52625.906807126405	kt
2017	footprint_gross_imports	CH4	522696.9330886179	t
2017	footprint_gross_imports	N2O	10347.316929466137	t
2017	footprint_gross_imports	HFC	2242499.0521685355	t CO2-eq
2017	footprint_gross_imports	PFC	244739.49590424143	t CO2-eq
2017	footprint_gross_imports	SF6_NF3	320882.13430230797	t CO2-eq
2017	import_footprint	GHG	52.78516949772862	Mt
2017	import_footprint	Biomass CO2	6440.664891580978	kt
2017	import_footprint	CO2	38369.10539105845	kt
2017	import_footprint	CH4	366384.05893253244	t
2017	import_footprint	N2O	8372.77812756191	t
2017	import_footprint	HFC	1575819.1067858958	t CO2-eq
2017	import_footprint	PFC	126681.19430158836	t CO2-eq
2017	import_footprint	SF6_NF3	236023.95166788247	t CO2-eq
2017	production_account	GHG	62.7432436712173	Mt
2017	production_account	Biomass CO2	2855.2729822	kt
2017	production_account	CO2	54543.9816712	kt
2017	production_account	CH4	184599.7686716	t
2017	production_account	N2O	8115.7447917	t
2017	production_account	HFC	728532.806317	t CO2-eq
2017	production_account	PFC	117750.33297	t CO2-eq
2017	production_account	SF6_NF3	33512.968125	t CO2-eq
2017	total_footprint	GHG	75.81721292024962	Mt
2017	total_footprint	Biomass CO2	8424.158990586851	kt
2017	total_footprint	CO2	56247.68149259081	kt
2017	total_footprint	CH4	481030.3849592122	t
2017	total_footprint	N2O	13579.820253759612	t
2017	total_footprint	HFC	2103642.18933971	t CO2-eq
2017	total_footprint	PFC	137099.07744907142	t CO2-eq
2017	total_footprint	SF6_NF3	261287.01476580068	t CO2-eq
2017	total_footprint_with_households	GHG	81.56406720878762	Mt
2017	total_footprint_with_households	Biomass CO2	10883.02533448685	kt
2017	total_footprint_with_households	CO2	61162.88423439081	kt
2017	total_footprint_with_households	CH4	498773.2369182122	t
2017	total_footprint_with_households	N2O	13830.033613059612	t
2017	total_footprint_with_households	HFC	2347695.42673821	t CO2-eq
2017	total_footprint_with_households	PFC	137099.07744907142	t CO2-eq
2017	total_footprint_with_households	SF6_NF3	285778.92903880065	t CO2-eq
2017	production_account_with_households	GHG	68.4900979597553	Mt
2017	production_account_with_households	Biomass CO2	5314.1393261	kt
2017	production_account_with_households	CO2	59459.184413	kt
2017	production_account_with_households	CH4	202342.6206306	t
2017	production_account_with_households	N2O	8365.958151	t
2017	production_account_with_households	HFC	972586.0437154999	t CO2-eq
2017	production_account_with_households	PFC	117750.33297	t CO2-eq
2017	production_account_with_households	SF6_NF3	58004.882398	t CO2-eq
2017	household_totals	GHG	5.746854288538	Mt
2017	household_totals	Biomass CO2	2458.8663439	kt
2017	household_totals	CO2	4915.2027418	kt
2017	household_totals	CH4	17742.851959	t
2017	household_totals	N2O	250.2133593	t
2017	household_totals	HFC	244053.2373985	t CO2-eq
2017	household_totals	PFC	0.0	t CO2-eq
