year	component	emission	sector	region	value	unit
2012	domestic	CH4	Construction	Advanced	0.0	t
2012	domestic	CH4	Construction	Developing	0.0	t
2012	domestic	CH4	Construction	Norway	53.959115789577176	t
2012	domestic	CH4	Electrical & machinery	Europe	0.0	t
2012	domestic	CH4	Electrical & machinery	Advanced	0.0	t
2012	domestic	CH4	Electrical & machinery	Developing	0.0	t
2012	domestic	CH4	Electrical & machinery	Norway	48.37796500739757	t
2012	domestic	CH4	Electricity, gas & water	Europe	0.0	t
2012	domestic	CH4	Electricity, gas & water	Advanced	0.0	t
2012	domestic	CH4	Electricity, gas & water	Developing	0.0	t
2012	domestic	CH4	Electricity, gas & water	Norway	8666.332703530239	t
2012	domestic	CH4	Food, beverages & tobacco	Europe	0.0	t
2012	domestic	CH4	Food, beverages & tobacco	Advanced	0.0	t
2012	domestic	CH4	Food, beverages & tobacco	Developing	0.0	t
2012	domestic	CH4	Food, beverages & tobacco	Norway	34162.90648180396	t
2012	domestic	CH4	Metal & metal products	Europe	0.0	t
2012	domestic	CH4	Metal & metal products	Advanced	0.0	t
2012	domestic	CH4	Metal & metal products	Developing	0.0	t
2012	domestic	CH4	Metal & metal products	Norway	10.323907479939283	t
2012	domestic	CH4	Mining & quarrying	Europe	0.0	t
2012	domestic	CH4	Mining & quarrying	Advanced	0.0	t
2012	domestic	CH4	Mining & quarrying	Developing	0.0	t
2012	domestic	CH4	Mining & quarrying	Norway	17.899948057661987	t
2012	domestic	CH4	Other manufacturing & recycl.	Europe	0.0	t
2012	domestic	CH4	Other manufacturing & recycl.	Advanced	0.0	t
2012	domestic	CH4	Other manufacturing & recycl.	Developing	0.0	t
2012	domestic	CH4	Other manufacturing & recycl.	Norway	95.10556065229386	t
2012	domestic	CH4	Petroleum, chem & non-met	Europe	0.0	t
2012	domestic	CH4	Petroleum, chem & non-met	Advanced	0.0	t
2012	domestic	CH4	Petroleum, chem & non-met	Developing	0.0	t
2012	domestic	CH4	Petroleum, chem & non-met	Norway	846.8437908622226	t
2012	domestic	CH4	Public services	Europe	0.0	t
2012	domestic	CH4	Public services	Advanced	0.0	t
2012	domestic	CH4	Public services	Developing	0.0	t
2012	domestic	CH4	Public services	Norway	600.732443203722	t
2012	domestic	CH4	Recreation; other services	Europe	0.0	t
2012	domestic	CH4	Recreation; other services	Advanced	0.0	t
2012	domestic	CH4	Recreation; other services	Developing	0.0	t
2012	domestic	CH4	Recreation; other services	Norway	578.2237127998599	t
2012	domestic	CH4	Textiles & wearing apparel	Europe	0.0	t
2012	domestic	CH4	Textiles & wearing apparel	Advanced	0.0	t
2012	domestic	CH4	Textiles & wearing apparel	Developing	0.0	t
2012	domestic	CH4	Textiles & wearing apparel	Norway	156.62558168132614	t
2012	domestic	CH4	Transport	Europe	0.0	t
2012	domestic	CH4	Transport	Advanced	0.0	t
2012	domestic	CH4	Transport	Developing	0.0	t
2012	domestic	CH4	Transport	Norway	1320.644366723102	t
2012	domestic	CH4	Transport equipment	Europe	0.0	t
2012	domestic	CH4	Transport equipment	Advanced	0.0	t
2012	domestic	CH4	Transport equipment	Developing	0.0	t
2012	domestic	CH4	Transport equipment	Norway	64.61187996428643	t
2012	domestic	CH4	Wholesale, retail & hospitality	Europe	0.0	t
2012	domestic	CH4	Wholesale, retail & hospitality	Advanced	0.0	t
2012	domestic	CH4	Wholesale, retail & hospitality	Developing	0.0	t
2012	domestic	CH4	Wholesale, retail & hospitality	Norway	4922.866406732825	t
2012	domestic	CH4	Wood, paper & publishing	Europe	0.0	t
2012	domestic	CH4	Wood, paper & publishing	Advanced	0.0	t
2012	domestic	CH4	Wood, paper & publishing	Developing	0.0	t
2012	domestic	CH4	Wood, paper & publishing	Norway	343.79026088185003	t
2012	domestic	CO2	Agriculture, forestry & fishing	Europe	0.0	kt
2012	domestic	CO2	Agriculture, forestry & fishing	Advanced	0.0	kt
2012	domestic	CO2	Agriculture, forestry & fishing	Developing	0.0	kt
2012	domestic	CO2	Agriculture, forestry & fishing	Norway	157.81440887806605	kt
2012	domestic	CO2	Business Services	Europe	0.0	kt
2012	domestic	CO2	Business Services	Advanced	0.0	kt
2012	domestic	CO2	Business Services	Developing	0.0	kt
2012	domestic	CO2	Business Services	Norway	1154.407070735705	kt
2012	domestic	CO2	Construction	Europe	0.0	kt
2012	domestic	CO2	Construction	Advanced	0.0	kt
