year	emission	sector	region	value	unit
2012	CH4	Electrical & machinery	Europe	6043.989256132391	t
2012	CH4	Electrical & machinery	Advanced	2660.2041509719593	t
2012	CH4	Electrical & machinery	Developing	29426.19969686152	t
2012	CH4	Electrical & machinery	Norway	686.4305561657668	t
2012	CH4	Electricity, gas & water	Europe	1285.2388110078327	t
2012	CH4	Electricity, gas & water	Advanced	379.1843467044788	t
2012	CH4	Electricity, gas & water	Developing	6806.310107777976	t
2012	CH4	Electricity, gas & water	Norway	9976.1958368401	t
2012	CH4	Food, beverages & tobacco	Europe	13751.31673662974	t
2012	CH4	Food, beverages & tobacco	Advanced	2012.6493251353877	t
2012	CH4	Food, beverages & tobacco	Developing	25986.510360250668	t
2012	CH4	Food, beverages & tobacco	Norway	44315.76762916594	t
2012	CH4	Metal & metal products	Europe	924.4660772280538	t
2012	CH4	Metal & metal products	Advanced	923.5214252773839	t
2012	CH4	Metal & metal products	Developing	3677.8213157101322	t
2012	CH4	Metal & metal products	Norway	127.11970679544191	t
2012	CH4	Mining & quarrying	Europe	2051.5311331633256	t
2012	CH4	Mining & quarrying	Advanced	1859.1672169595972	t
2012	CH4	Mining & quarrying	Developing	10765.422090334789	t
2012	CH4	Mining & quarrying	Norway	3316.2378452523403	t
2012	CH4	Other manufacturing & recycl.	Europe	1977.336286541704	t
2012	CH4	Other manufacturing & recycl.	Advanced	926.843312530219	t
2012	CH4	Other manufacturing & recycl.	Developing	14020.88894404303	t
2012	CH4	Other manufacturing & recycl.	Norway	382.1305393445685	t
2012	CH4	Petroleum, chem & non-met	Europe	7838.791846148455	t
2012	CH4	Petroleum, chem & non-met	Advanced	3902.9937580966653	t
2012	CH4	Petroleum, chem & non-met	Developing	32048.937178639066	t
2012	CH4	Petroleum, chem & non-met	Norway	4595.36415706337	t
2012	CH4	Public services	Europe	7319.416722785187	t
2012	CH4	Public services	Advanced	2908.9458129626455	t
2012	CH4	Public services	Developing	28874.198789384525	t
2012	CH4	Public services	Norway	8340.433534116282	t
2012	CH4	Recreation; other services	Europe	1408.7759214600894	t
2012	CH4	Recreation; other services	Advanced	577.0304542143059	t
2012	CH4	Recreation; other services	Developing	6228.785264441222	t
2012	CH4	Recreation; other services	Norway	1595.8252678378967	t
2012	CH4	Textiles & wearing apparel	Europe	3268.166990175819	t
2012	CH4	Textiles & wearing apparel	Advanced	997.1932867979069	t
2012	CH4	Textiles & wearing apparel	Developing	21606.42258291883	t
2012	CH4	Textiles & wearing apparel	Norway	233.12741088997308	t
2012	CH4	Transport	Europe	3795.7929095964223	t
2012	CH4	Transport	Advanced	2076.1508501557832	t
2012	CH4	Transport	Developing	17809.41890226783	t
2012	CH4	Transport	Norway	2356.8637621059415	t
2012	CH4	Transport equipment	Europe	6617.4745709457175	t
2012	CH4	Transport equipment	Advanced	3292.4372115294527	t
2012	CH4	Transport equipment	Developing	22524.153489659864	t
2012	CH4	Transport equipment	Norway	1075.8969524328124	t
2012	CH4	Wholesale, retail & hospitality	Europe	13691.673678261768	t
2012	CH4	Wholesale, retail & hospitality	Advanced	7013.261525712122	t
2012	CH4	Wholesale, retail & hospitality	Developing	39761.46167875867	t
2012	CH4	Wholesale, retail & hospitality	Norway	6590.429001507894	t
2012	CH4	Wood, paper & publishing	Europe	723.6846780855751	t
2012	CH4	Wood, paper & publishing	Advanced	79.00297573834231	t
2012	CH4	Wood, paper & publishing	Developing	999.9579793702075	t
2012	CH4	Wood, paper & publishing	Norway	533.2338297466426	t
2012	CO2	Agriculture, forestry & fishing	Europe	388.2062044810194	kt
2012	CO2	Agriculture, forestry & fishing	Advanced	74.07282101085192	kt
2012	CO2	Agriculture, forestry & fishing	Developing	339.5669228672964	kt
2012	CO2	Agriculture, forestry & fishing	Norway	307.89828758385386	kt
2012	CO2	Business Services	Europe	1812.5950318339872	kt
2012	CO2	Business Services	Advanced	768.7488987925578	kt
2012	CO2	Business Services	Developing	3296.874400515721	kt
2012	CO2	Business Services	Norway	1726.9114956825917	kt
2012	CO2	Construction	Europe	1787.8889646832276	kt
2012	CO2	Construction	Advanced	572.969794347031	kt
2012	CO2	Construction	Developing	3416.946403374904	kt
2012	CO2	Construction	Norway	3299.699685821817	kt
2012	CO2	Electrical & machinery	Europe	1395.0733149511393	kt
2012	CO2	Electrical & machinery	Advanced	518.5380425870588	kt
2012	CO2	Electrical & machinery	Developing	3915.6131829031324	kt
2012	CO2	Electrical & machinery	Norway	125.91490316846742	kt
2012	CO2	Electricity, gas & water	Europe	203.39934889862576	kt
2012	CO2	Electricity, gas & water	Advanced	40.26862674152221	kt
2012	CO2	Electricity, gas & water	Developing	199.73340032560318	kt
2012	CO2	Electricity, gas & water	Norway	738.9832295018622	kt
2012	CO2	Food, beverages & tobacco	Europe	1125.7020243541617	kt
2012	CO2	Food, beverages & tobacco	Advanced	263.7083019757022	kt
2012	CO2	Food, beverages & tobacco	Developing	1066.683335289209	kt
2012	CO2	Food, beverages & tobacco	Norway	927.7878147065596	kt
2012	CO2	Metal & metal products	Europe	156.01105384464287	kt
2012	CO2	Metal & metal products	Advanced	90.21672224686365	kt
2012	CO2	Metal & metal products	Developing	344.6624711950631	kt
2012	CO2	Metal & metal products	Norway	63.87813888464123	kt
2012	CO2	Mining & quarrying	Europe	228.24583470071627	kt
2012	CO2	Mining & quarrying	Advanced	130.38410816889458	kt
2012	CO2	Mining & quarrying	Developing	373.878548902996	kt
2012	CO2	Mining & quarrying	Norway	1816.4726459850008	kt
2012	CO2	Other manufacturing & recycl.	Europe	443.8245344375112	kt
2012	CO2	Other manufacturing & recycl.	Advanced	191.69789681812932	kt
2012	CO2	Other manufacturing & recycl.	Developing	2054.0562871855745	kt
2012	CO2	Other manufacturing & recycl.	Norway	68.20127920039104	kt
2012	CO2	Petroleum, chem & non-met	Europe	1342.497452310354	kt
2012	CO2	Petroleum, chem & non-met	Advanced	357.95841835393117	kt
2012	CO2	Petroleum, chem & non-met	Developing	1300.190604507562	kt
2012	CO2	Petroleum, chem & non-met	Norway	1898.7499852124847	kt
2012	CO2	Public services	Europe	1298.1640634696737	kt
2012	CO2	Public services	Advanced	447.0208383046583	kt
2012	CO2	Public services	Developing	2120.0525535017905	kt
2012	CO2	Public services	Norway	1793.1705888629288	kt
2012	CO2	Recreation; other services	Europe	256.74261594709196	kt
2012	CO2	Recreation; other services	Advanced	115.0311952221716	kt
2012	CO2	Recreation; other services	Developing	576.3994117727125	kt
2012	CO2	Recreation; other services	Norway	285.96520861974784	kt
2012	CO2	Textiles & wearing apparel	Europe	382.0242294092702	kt
2012	CO2	Textiles & wearing apparel	Advanced	166.45487324222356	kt
2012	CO2	Textiles & wearing apparel	Developing	2401.2295685873582	kt
2012	CO2	Textiles & wearing apparel	Norway	22.43999075018828	kt
2012	CO2	Transport	Europe	945.8288890728162	kt
2012	CO2	Transport	Advanced	654.3125155032867	kt
2012	CO2	Transport	Developing	1314.4208711782023	kt
2012	CO2	Transport	Norway	3733.9190068428647	kt
2012	CO2	Transport equipment	Europe	1589.8846411213813	kt
2012	CO2	Transport equipment	Advanced	717.7430004240771	kt
2012	CO2	Transport equipment	Developing	2277.8154952025575	kt
2012	CO2	Transport equipment	Norway	305.1298543960834	kt
2012	CO2	Wholesale, retail & hospitality	Europe	1693.328716093755	kt
2012	CO2	Wholesale, retail & hospitality	Advanced	688.705746904668	kt
2012	CO2	Wholesale, retail & hospitality	Developing	2730.1374301326623	kt
2012	CO2	Wholesale, retail & hospitality	Norway	1296.1303145185984	kt
2012	CO2	Wood, paper & publishing	Europe	131.86857520877635	kt
2012	CO2	Wood, paper & publishing	Advanced	16.41606538069332	kt
2012	CO2	Wood, paper & publishing	Developing	96.82242548451762	kt
2012	CO2	Wood, paper & publishing	Norway	30.47349268147137	kt
2012	GHG	Agriculture, forestry & fishing	Europe	0.6746582218519784	Mt
2012	GHG	Agriculture, forestry & fishing	Advanced	0.12933971592578214	Mt
2012	GHG	Agriculture, forestry & fishing	Developing	0.6987742238412495	Mt
2012	GHG	Agriculture, forestry & fishing	Norway	1.3073268774864901	Mt
2012	GHG	Business Services	Europe	2.17539248085066	Mt
2012	GHG	Business Services	Advanced	0.910412876630797	Mt
2012	GHG	Business Services	Developing	4.560128400509511	Mt
2012	GHG	Business Services	Norway	2.0483251602173507	Mt
2012	GHG	Construction	Europe	2.1633125285380777	Mt
2012	GHG	Construction	Advanced	0.7110897459469455	Mt
2012	GHG	Construction	Developing	4.591962544090179	Mt
2012	GHG	Construction	Norway	3.7064433592942048	Mt
2012	GHG	Electrical & machinery	Europe	1.631411682730278	Mt
2012	GHG	Electrical & machinery	Advanced	0.6222306232425522	Mt
2012	GHG	Electrical & machinery	Developing	4.9302661356464945	Mt
2012	GHG	Electrical & machinery	Norway	0.1539534423358554	Mt
2012	GHG	Electricity, gas & water	Europe	0.2490768924223414	Mt
