year	emission	hhld_component	value	unit
2015	HFC	Other	252171.5909913	t CO2-eq
2015	HFC	Transport	0.0	t CO2-eq
2015	HFC	Households, totals	252171.5909913	t CO2-eq
2015	PFC	Heating/cooling	0.0	t CO2-eq
2015	PFC	Other	0.0	t CO2-eq
2015	PFC	Transport	0.0	t CO2-eq
2015	PFC	Households, totals	0.0	t CO2-eq
2015	SF6_NF3	Heating/cooling	0.0	t CO2-eq
2015	SF6_NF3	Other	24989.199324	t CO2-eq
2015	SF6_NF3	Transport	0.0	t CO2-eq
2015	SF6_NF3	Households, totals	24989.199324	t CO2-eq
2016	GHG	Heating/cooling	0.5621322254585001	Mt
2016	GHG	Other	0.9409493453929999	Mt
2016	GHG	Transport	4.770109381649499	Mt
2016	GHG	Households, totals	6.273190952527499	Mt
2016	Biomass CO2	Heating/cooling	1716.809327	kt
2016	Biomass CO2	Other	9.5916303	kt
2016	Biomass CO2	Transport	403.9639333	kt
2016	Biomass CO2	Households, totals	2130.3648906	kt
2016	CO2	Heating/cooling	319.9849884	kt
2016	CO2	Other	373.3483356	kt
2016	CO2	Transport	4716.5179977	kt
2016	CO2	Households, totals	5409.8513217	kt
2016	CH4	Heating/cooling	8338.5488585	t
2016	CH4	Other	9409.9395101	t
2016	CH4	Transport	639.0316875	t
2016	CH4	Households, totals	18387.5200561	t
2016	N2O	Heating/cooling	32.7089397	t
2016	N2O	Other	100.1795422	t
2016	N2O	Transport	134.7113083	t
2016	N2O	Households, totals	267.5997903	t
2016	HFC	Heating/cooling	0.0	t CO2-eq
2016	HFC	Other	252835.8174767	t CO2-eq
2016	HFC	Transport	0.0	t CO2-eq
2016	HFC	Households, totals	252835.8174767	t CO2-eq
2016	PFC	Heating/cooling	0.0	t CO2-eq
2016	PFC	Other	0.0	t CO2-eq
2016	PFC	Transport	0.0	t CO2-eq
2016	PFC	Households, totals	0.0	t CO2-eq
2016	SF6_NF3	Heating/cooling	0.0	t CO2-eq
2016	SF6_NF3	Other	24739.3073505	t CO2-eq
2016	SF6_NF3	Transport	0.0	t CO2-eq
2016	SF6_NF3	Households, totals	24739.3073505	t CO2-eq
2017	GHG	Heating/cooling	0.5064246600674001	Mt
2017	GHG	Other	0.9049936503285	Mt
2017	GHG	Transport	4.3354359781421	Mt
2017	GHG	Households, totals	5.746854288538	Mt
2017	Biomass CO2	Heating/cooling	1832.9853425	kt
2017	Biomass CO2	Other	9.8177689	kt
2017	Biomass CO2	Transport	616.0632324	kt
2017	Biomass CO2	Households, totals	2458.8663439	kt
2017	CO2	Heating/cooling	256.5591127	kt
2017	CO2	Other	376.39152	kt
2017	CO2	Transport	4282.2521091	kt
2017	CO2	Households, totals	4915.2027418	kt
2017	CH4	Heating/cooling	8598.8291023	t
2017	CH4	Other	8530.577577	t
2017	CH4	Transport	613.4452797	t
2017	CH4	Households, totals	17742.851959	t
2017	N2O	Heating/cooling	34.3333302	t
2017	N2O	Other	80.0030434	t
2017	N2O	Transport	135.8769857	t
2017	N2O	Households, totals	250.2133593	t
2017	HFC	Heating/cooling	0.0	t CO2-eq
2017	HFC	Other	244053.2373985	t CO2-eq
2017	HFC	Transport	0.0	t CO2-eq
2017	HFC	Households, totals	244053.2373985	t CO2-eq
2017	PFC	Heating/cooling	0.0	t CO2-eq
2017	PFC	Other	0.0	t CO2-eq
2017	PFC	Transport	0.0	t CO2-eq
2017	PFC	Households, totals	0.0	t CO2-eq
2017	SF6_NF3	Heating/cooling	0.0	t CO2-eq
2017	SF6_NF3	Other	24491.914273	t CO2-eq
2017	SF6_NF3	Transport	0.0	t CO2-eq
2017	SF6_NF3	Households, totals	24491.914273	t CO2-eq
2018	GHG	Heating/cooling	0.4358183524476	Mt
2018	GHG	Other	0.9091331149435	Mt
2018	GHG	Transport	4.3086683873466	Mt
2018	GHG	Households, totals	5.653619854737701	Mt
2018	Biomass CO2	Heating/cooling	1791.7617654	kt
2018	Biomass CO2	Other	11.3786629	kt
2018	Biomass CO2	Transport	455.4659998	kt
2018	Biomass CO2	Households, totals	2258.6064281	kt
2018	CO2	Heating/cooling	194.4730134	kt
2018	CO2	Other	379.2854056	kt
2018	CO2	Transport	4256.6708088	kt
2018	CO2	Households, totals	4830.4292278	kt
2018	CH4	Heating/cooling	8306.3951542	t
2018	CH4	Other	8881.9455311	t
2018	CH4	Transport	577.0254097	t
2018	CH4	Households, totals	17765.366095	t
2018	N2O	Heating/cooling	33.080282	t
2018	N2O	Other	89.6373007	t
2018	N2O	Transport	135.248555	t
2018	N2O	Households, totals	257.9661377	t
2018	HFC	Heating/cooling	0.0	t CO2-eq
2018	HFC	Other	233152.3546527	t CO2-eq
2018	HFC	Transport	0.0	t CO2-eq
2018	HFC	Households, totals	233152.3546527	t CO2-eq
2018	PFC	Heating/cooling	0.0	t CO2-eq
2018	PFC	Other	0.0	t CO2-eq
2018	PFC	Transport	0.0	t CO2-eq
2018	PFC	Households, totals	0.0	t CO2-eq
2018	SF6_NF3	Heating/cooling	0.0	t CO2-eq
2018	SF6_NF3	Other	24246.9951345	t CO2-eq
2018	SF6_NF3	Transport	0.0	t CO2-eq
2018	SF6_NF3	Households, totals	24246.9951345	t CO2-eq
2019	GHG	Heating/cooling	0.2837518361641	Mt
2019	GHG	Other	0.8737716434846	Mt
2019	GHG	Transport	3.9020436158106	Mt
