year	region	emission	value	unit
2015	Europe	HFC	558069.3744511438	t CO2-eq
2015	Advanced	HFC	87108.06633732667	t CO2-eq
2015	Developing	HFC	766788.3827853573	t CO2-eq
2015	Norway	HFC	456357.11810041394	t CO2-eq
2015	Europe	N2O	3094.4330587766003	t
2015	Advanced	N2O	1014.1387706816713	t
2015	Developing	N2O	5714.422766181206	t
2015	Norway	N2O	5184.296919016297	t
2015	Europe	PFC	26192.11435331277	t CO2-eq
2015	Advanced	PFC	21792.192925981406	t CO2-eq
2015	Developing	PFC	76454.4094442191	t CO2-eq
2015	Norway	PFC	15243.76238933053	t CO2-eq
2015	Europe	SF6_NF3	42241.68271850723	t CO2-eq
2015	Advanced	SF6_NF3	39085.293659949144	t CO2-eq
2015	Developing	SF6_NF3	181194.03020231993	t CO2-eq
2015	Norway	SF6_NF3	32385.61725297206	t CO2-eq
2016	Europe	Biomass CO2	3488.311997413198	kt
2016	Advanced	Biomass CO2	415.54740608479995	kt
2016	Developing	Biomass CO2	1995.0739044299705	kt
2016	Norway	Biomass CO2	1634.366764685588	kt
2016	Europe	CH4	84738.90675461559	t
2016	Advanced	CH4	48026.55744491452	t
2016	Developing	CH4	276739.95870319963	t
2016	Norway	CH4	118907.74757245494	t
2016	Europe	CO2	12897.90943582628	kt
2016	Advanced	CO2	5211.2668878982495	kt
2016	Developing	CO2	22546.567961052177	kt
2016	Norway	CO2	18209.94910515772	kt
2016	Europe	GHG	16.69301226110754	Mt
2016	Advanced	GHG	6.947888223887252	Mt
2016	Developing	GHG	32.904181932757155	Mt
2016	Norway	GHG	23.42465149950822	Mt
2016	Europe	HFC	555081.3486817166	t CO2-eq
2016	Advanced	HFC	78489.77364851208	t CO2-eq
2016	Developing	HFC	804863.4843131631	t CO2-eq
2016	Norway	HFC	492578.4316735744	t CO2-eq
2016	Europe	N2O	3003.3126425748446	t
2016	Advanced	N2O	956.6109429952953	t
2016	Developing	N2O	5877.050599535864	t
2016	Norway	N2O	5081.646202985542	t
2016	Europe	PFC	32433.09254028322	t CO2-eq
2016	Advanced	PFC	24527.920207795083	t CO2-eq
2016	Developing	PFC	80146.17033852609	t CO2-eq
2016	Norway	PFC	18429.00279181152	t CO2-eq
2016	Europe	SF6_NF3	39021.144647690104	t CO2-eq
2016	Advanced	SF6_NF3	35358.13378133677	t CO2-eq
2016	Developing	SF6_NF3	166467.06448670235	t CO2-eq
2016	Norway	SF6_NF3	27641.784065210388	t CO2-eq
2017	Europe	Biomass CO2	4508.823684808828	kt
2017	Advanced	Biomass CO2	363.1916844283701	kt
2017	Developing	Biomass CO2	1554.187034077036	kt
2017	Norway	Biomass CO2	1997.956587272619	kt
2017	Europe	CH4	93496.87711518355	t
2017	Advanced	CH4	32973.791649351086	t
2017	Developing	CH4	231793.97759585388	t
2017	Norway	CH4	122765.73859882358	t
2017	Europe	CO2	13583.757545336308	kt
2017	Advanced	CO2	4028.845013803554	kt
2017	Developing	CO2	20357.11308941757	kt
2017	Norway	CO2	18277.965844033384	kt
2017	Europe	GHG	17.78005960128514	Mt
2017	Advanced	GHG	5.2597170071259844	Mt
2017	Developing	GHG	29.096805197208685	Mt
2017	Norway	GHG	23.680631114629836	Mt
2017	Europe	HFC	560670.0374170091	t CO2-eq
2017	Advanced	HFC	78886.49474609559	t CO2-eq
2017	Developing	HFC	930844.8108168226	t CO2-eq
2017	Norway	HFC	533240.8463597827	t CO2-eq
2017	Europe	N2O	3594.8357733728335	t
2017	Advanced	N2O	686.2267592304931	t
2017	Developing	N2O	4051.226522749281	t
2017	Norway	N2O	5247.531198407006	t
2017	Europe	PFC	29848.803986855673	t CO2-eq
