year	component	emission	sector	value	unit
2012	domestic_footprint	N2O	Wholesale, retail & hospitality	180.0463882754581	t
2012	domestic_footprint	N2O	Business Services	144.6479503514521	t
2012	domestic_footprint	N2O	Transport	137.36413570002657	t
2012	domestic_footprint	N2O	Metal & metal products	3.4397935839386546	t
2012	domestic_footprint	N2O	Petroleum, chem & non-met	403.2963419232067	t
2012	domestic_footprint	N2O	Electrical & machinery	12.35875004170967	t
2012	domestic_footprint	N2O	Construction	259.05138032664985	t
2012	domestic_footprint	N2O	Recreation; other services	33.3557310435609	t
2012	domestic_footprint	N2O	Public services	336.07297080865794	t
2012	domestic_footprint	N2O	Electricity, gas & water	64.78862559028875	t
2012	domestic_footprint	N2O	Agriculture, forestry & fishing	1277.0102688974077	t
2012	domestic_footprint	N2O	Food, beverages & tobacco	2409.330720490748	t
2012	domestic_footprint	N2O	Other manufacturing & recycl.	6.864388442997171	t
2012	domestic_footprint	N2O	Mining & quarrying	23.06049343120357	t
2012	domestic_footprint	N2O	Transport equipment	24.06913065462738	t
2012	domestic_footprint	N2O	Wood, paper & publishing	3.611015177293332	t
2012	domestic_footprint	N2O	Textiles & wearing apparel	7.797506433293356	t
2012	domestic_footprint	PFC	Wholesale, retail & hospitality	824.6156718504493	t CO2-eq
2012	domestic_footprint	PFC	Business Services	1154.3205680188778	t CO2-eq
2012	domestic_footprint	PFC	Transport	2239.2526399157973	t CO2-eq
2012	domestic_footprint	PFC	Metal & metal products	1571.1126679891768	t CO2-eq
2012	domestic_footprint	PFC	Petroleum, chem & non-met	410.2299914895525	t CO2-eq
2012	domestic_footprint	PFC	Electrical & machinery	887.627133105404	t CO2-eq
2012	domestic_footprint	PFC	Construction	2942.3258321523786	t CO2-eq
2012	domestic_footprint	PFC	Recreation; other services	273.37359839206727	t CO2-eq
2012	domestic_footprint	PFC	Public services	1080.6452483937749	t CO2-eq
2012	domestic_footprint	PFC	Electricity, gas & water	63.52656388899338	t CO2-eq
2012	domestic_footprint	PFC	Agriculture, forestry & fishing	62.0204082611576	t CO2-eq
2012	domestic_footprint	PFC	Food, beverages & tobacco	368.0388674503949	t CO2-eq
2012	domestic_footprint	PFC	Other manufacturing & recycl.	257.3124912647561	t CO2-eq
2012	domestic_footprint	PFC	Mining & quarrying	347.5555593349913	t CO2-eq
2012	domestic_footprint	PFC	Transport equipment	1303.4480764737807	t CO2-eq
2012	domestic_footprint	PFC	Wood, paper & publishing	18.064109456908376	t CO2-eq
2012	domestic_footprint	PFC	Textiles & wearing apparel	81.93702470154903	t CO2-eq
2012	domestic_footprint	SF6_NF3	Wholesale, retail & hospitality	1727.369772114238	t CO2-eq
2012	domestic_footprint	SF6_NF3	Business Services	5120.652632596751	t CO2-eq
2012	domestic_footprint	SF6_NF3	Transport	518.4935098935646	t CO2-eq
2012	domestic_footprint	SF6_NF3	Metal & metal products	93.61761186185419	t CO2-eq
2012	domestic_footprint	SF6_NF3	Petroleum, chem & non-met	669.2392445838252	t CO2-eq
2012	domestic_footprint	SF6_NF3	Electrical & machinery	490.064551658372	t CO2-eq
2012	domestic_footprint	SF6_NF3	Construction	1681.4680392635005	t CO2-eq
2012	domestic_footprint	SF6_NF3	Recreation; other services	785.543493683658	t CO2-eq
2012	domestic_footprint	SF6_NF3	Public services	4968.750657330247	t CO2-eq
2012	domestic_footprint	SF6_NF3	Electricity, gas & water	16182.59577420286	t CO2-eq
2012	domestic_footprint	SF6_NF3	Agriculture, forestry & fishing	216.57070197657862	t CO2-eq
2012	domestic_footprint	SF6_NF3	Food, beverages & tobacco	1060.2952670776192	t CO2-eq
2012	domestic_footprint	SF6_NF3	Other manufacturing & recycl.	112.46528017661815	t CO2-eq
2012	domestic_footprint	SF6_NF3	Mining & quarrying	280.89929562291684	t CO2-eq
2012	domestic_footprint	SF6_NF3	Transport equipment	559.4035317607148	t CO2-eq
2012	domestic_footprint	SF6_NF3	Wood, paper & publishing	63.79918912042488	t CO2-eq
2012	domestic_footprint	SF6_NF3	Textiles & wearing apparel	36.52394307815268	t CO2-eq
2012	footprint_gross_exports	Biomass CO2	Wholesale, retail & hospitality	287.490086119533	kt
2012	footprint_gross_exports	Biomass CO2	Business Services	179.38887268857317	kt
2012	footprint_gross_exports	Biomass CO2	Transport	302.2976625142617	kt
2012	footprint_gross_exports	Biomass CO2	Metal & metal products	332.7864629485547	kt
2012	footprint_gross_exports	Biomass CO2	Petroleum, chem & non-met	213.83075760870327	kt
2012	footprint_gross_exports	Biomass CO2	Electrical & machinery	151.79237048630242	kt
2012	footprint_gross_exports	Biomass CO2	Construction	5.000642575027594	kt
2012	footprint_gross_exports	Biomass CO2	Recreation; other services	3.7034538015620995	kt
2012	footprint_gross_exports	Biomass CO2	Public services	2.745450678148284	kt
2012	footprint_gross_exports	Biomass CO2	Electricity, gas & water	95.29003322278447	kt
2012	footprint_gross_exports	Biomass CO2	Agriculture, forestry & fishing	104.19871537214628	kt
2012	footprint_gross_exports	Biomass CO2	Food, beverages & tobacco	186.6852086816868	kt
2012	footprint_gross_exports	Biomass CO2	Other manufacturing & recycl.	34.80912135064714	kt
2012	footprint_gross_exports	Biomass CO2	Mining & quarrying	383.4482787209077	kt
2012	footprint_gross_exports	Biomass CO2	Transport equipment	35.984207554758726	kt
2012	footprint_gross_exports	Biomass CO2	Wood, paper & publishing	840.4441586990367	kt
2012	footprint_gross_exports	Biomass CO2	Textiles & wearing apparel	3.9921325633500695	kt
2012	footprint_gross_exports	CH4	Wholesale, retail & hospitality	13859.321393188897	t
2012	footprint_gross_exports	CH4	Business Services	9357.582770091198	t
2012	footprint_gross_exports	CH4	Transport	41468.82158698737	t
2012	footprint_gross_exports	CH4	Metal & metal products	63084.124503284045	t
2012	footprint_gross_exports	CH4	Petroleum, chem & non-met	38028.844276388256	t
2012	footprint_gross_exports	CH4	Electrical & machinery	15069.72817985347	t
2012	footprint_gross_exports	CH4	Construction	248.23021444709948	t
2012	footprint_gross_exports	CH4	Recreation; other services	206.55889608703933	t
2012	footprint_gross_exports	CH4	Public services	149.49925377761144	t
2012	footprint_gross_exports	CH4	Electricity, gas & water	17406.200030374628	t
2012	footprint_gross_exports	CH4	Agriculture, forestry & fishing	9717.301025674791	t
2012	footprint_gross_exports	CH4	Food, beverages & tobacco	30447.656120678213	t
2012	footprint_gross_exports	CH4	Other manufacturing & recycl.	2270.8925930483447	t
2012	footprint_gross_exports	CH4	Mining & quarrying	59665.70131116365	t
2012	footprint_gross_exports	CH4	Transport equipment	4013.366797777459	t
2012	footprint_gross_exports	CH4	Wood, paper & publishing	4744.4955183041275	t
2012	footprint_gross_exports	CH4	Textiles & wearing apparel	337.3903860687163	t
2012	footprint_gross_exports	CO2	Wholesale, retail & hospitality	1398.7249405141865	kt
2012	footprint_gross_exports	CO2	Business Services	1186.0886244144615	kt
2012	footprint_gross_exports	CO2	Transport	17358.866698786864	kt
2012	footprint_gross_exports	CO2	Metal & metal products	7734.446927713607	kt
2012	footprint_gross_exports	CO2	Petroleum, chem & non-met	5061.067311797175	kt
