emission	unit	Advanced	Developing	Europe	Norway
Biomass CO2	kt	189.99411110595685	785.0738380496465	4008.3401293754	4186.513788052087
CH4	t	28133.321613328382	207307.59864585663	79840.70567426809	134054.37939680537
CO2	kt	3895.5146355703	14752.222384335306	10581.214816038691	21801.77806910396
GHG	Mt	5.056919035065589	22.693846268110494	14.701345444726948	27.76866587945924
HFC	t	188178.68873361664	685533.0041764869	543091.7680101325	642125.5259980939
N2O	t	541.0234526072833	4573.094362581133	3363.4497346408184	5570.180229082393
PFC	t	21263.54763816371	193470.1981888551	122840.2158949326	32503.613350219173
SF6_NF3	t	20857.943009384468	46137.91324186279	327344.7062238651	62638.287189577386
