component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020
domestic_footprint	PFC	t	13885.406452140012	11785.425944289407	12492.132912812114	9847.319659706816	12607.265973613874	10417.88314748308	11995.701304802173	14006.05458283372	18712.02638742674
footprint_gross_exports	PFC	t	759635.183256593	614860.4493944113	563963.4990167321	465481.1076410811	622327.6366186306	508546.37240610266	531091.6127372669	576897.5784503449	394465.5087346907
footprint_gross_imports	PFC	t	1069944.7816337645	895882.19187224	826788.9408930223	695844.8714212911	902715.4292969014	738956.9085986135	788203.4331438296	815114.7145329271	619389.4485968613
household_totals	PFC	t	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
import_footprint	PFC	t	476679.9130622313	432013.7996792394	411216.7819269781	352144.0514205033	435184.3768746567	337742.9860150279	378261.7574517604	381622.2169397487	351365.5486847439
production_account	PFC	t	180255.7211372	162777.4831457	160883.47296349998	131627.6073	167403.85017	117750.33297	133145.63835	157411.13544	145153.63521
production_account_with_households	PFC	t	180255.7211372	162777.4831457	160883.47296349998	131627.6073	167403.85017	117750.33297	133145.63835	157411.13544	145153.63521
total_footprint	PFC	t	490565.31951437134	443799.2256235288	423708.9148397902	361991.3710802101	447791.64284827054	348160.869162511	390257.45875656256	395628.2715225824	370077.5750721706
total_footprint_with_households	PFC	t	490565.31951437134	443799.2256235288	423708.9148397902	361991.3710802101	447791.64284827054	348160.869162511	390257.45875656256	395628.2715225824	370077.5750721706
