component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020
domestic_footprint	CO2	kt	18249.51508192008	19744.50226483941	19200.736982880764	20822.271203919703	18028.797295651304	17878.57610153236	18533.590016406928	18817.31701913191	17275.51138128691
footprint_gross_exports	CO2	kt	54024.45626976312	53884.95627547642	52871.09757199624	56682.2816479778	49107.11878490323	50235.355944753865	53667.309989489055	53238.89529067272	46245.486419081964
footprint_gross_imports	CO2	kt	60358.48757208346	65351.94551120271	60126.91097884708	54097.5578413456	50972.720163107806	46137.86589527675	47738.61883220443	45358.90082593949	40543.42239713023
household_totals	CO2	kt	5779.557582	5695.3962149	5594.2951167	5549.9009639	5409.8513217	4915.2027418	4830.4292278	4295.9582283	4330.6276644
import_footprint	CO2	kt	41852.539356300265	45782.86479768687	41630.46770377008	37201.0721420481	35826.88612905328	32567.915520190527	33171.41748610846	31305.50853783486	29424.590859361357
production_account	CO2	kt	53768.0231359	54060.3778268	53575.3912798	60608.0671526	51990.0820465	54543.9816712	57633.69865979999	58002.820021700005	52402.1662626
production_account_with_households	CO2	kt	59547.5807179	59755.7740417	59169.6863965	66157.96811650001	57399.9333682	59459.184413	62464.12788759999	62298.77825	56732.793927000006
total_footprint	CO2	kt	60102.05443822034	65527.36706252628	60831.20468665083	58023.343345967805	53855.68342470458	50446.49162172289	51705.00750251539	50122.82555696677	46700.102240648266
total_footprint_with_households	CO2	kt	65881.61202022033	71222.76327742627	66425.49980335083	63573.244309867805	59265.53474640458	55361.69436352289	56535.43673031539	54418.783785266765	51030.72990504827
