emission	unit	sector	Advanced	Developing	Europe	Norway
GHG	Mt	Agriculture, forestry & fishing	0.0705705318404565	0.7868833272419972	0.4332543005324326	1.3390128284416936
GHG	Mt	Business Services	0.347030738500427	1.644935307651995	1.319386769928299	1.4162291368858877
GHG	Mt	Construction	0.5735531890498795	2.8108167258400027	1.799121579450401	4.251396685351286
GHG	Mt	Electrical & machinery	0.4665809143363236	2.491557032913974	1.0084020826016755	0.0916289035990602
GHG	Mt	Electricity, gas & water	0.048382776397656	0.2287764317057193	0.1816388788843076	1.300742770333459
GHG	Mt	Food, beverages & tobacco	0.2888665787094416	2.622463117570188	2.101550336847283	3.012305747238389
GHG	Mt	Metal & metal products	0.1242214503439107	0.4312175807048271	0.2174011700657822	0.2015718194849556
GHG	Mt	Mining & quarrying	0.1890924335801426	0.3783563135118373	0.2026565313697793	2.793466329650269
GHG	Mt	Other manufacturing & recycl.	0.1374847310734396	0.8441652569945848	0.3860028771053148	0.1119708709083061
GHG	Mt	Petroleum, chem & non-met	0.5839794160650386	2.4672568372946584	0.9635950921970948	0.8389124809057722
GHG	Mt	Public services	0.5684495089047834	2.633029973746801	1.2641333943229367	2.5090316825904924
GHG	Mt	Recreation; other services	0.064238982518933	0.3552449747390971	0.1951042806799784	0.3188114226065138
GHG	Mt	Textiles & wearing apparel	0.1350582944642055	2.2176550983231693	0.3222296649488182	0.0371957477221768
GHG	Mt	Transport	0.1163825669566456	0.4901788689014429	0.3689676206034467	2.456544539726996
GHG	Mt	Transport equipment	1.0977261005022252	2.215562222164172	1.7859523576435754	0.38327009215328
GHG	Mt	Wholesale, retail , Hospitality	0.2292642720730127	1.1142554055687626	0.9025681203641917	1.5623047717750178
GHG	Mt	Wood, paper & publishing	0.0160365497490517	0.0894145165460501	0.1214576638727367	0.0359352935784834
