emission	unit	sector	Changes in inventories	Exports fob (2)	Final consumption expenditure by government	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Gross fixed capital formation
GHG	Mt	Agriculture, forestry & fishing	0.0133935410282093	1.914979764071473	0.0	2.5170986853308186	0.0	0.0992287616975577
GHG	Mt	Business Services	0.6621725066989753	0.9556674967012242	0.0090840520532281	2.4531095525320588	0.0	1.6032158416823816
GHG	Mt	Construction	1.8324003090150336	0.0600090087151839	0.0047899132070328	0.0508662563351652	0.0	7.54683170113434
GHG	Mt	Electrical & machinery	0.1639931847323218	1.6381176051949784	0.011351337640025	1.4212447988728634	0.0	2.461579612205829
GHG	Mt	Electricity, gas & water	0.2563183418417089	0.3789234073795884	0.0583049875403772	1.293659624789961	0.0	0.1512579031491016
GHG	Mt	Food, beverages & tobacco	1.3849985554190625	2.4432211718796983	0.0019103263179594	6.575752889434016	0.0	0.0625240091942632
GHG	Mt	Metal & metal products	0.0	6.230781851447097	0.007768071417626	0.2987266429675661	0.0	0.6679173062142877
GHG	Mt	Mining & quarrying	0.8831501858833538	13.65977601446009	0.0109334725273149	0.1963461000671384	0.0	2.4731418496342217
GHG	Mt	Other manufacturing & recycl.	0.0058367385278761	0.2032478058709302	0.0556240359996614	0.8017409166984968	0.0	0.616422044855615
GHG	Mt	Petroleum, chem & non-met	0.5543718841292093	6.790984775124874	0.4195498464031651	3.545104509023812	0.0	0.3347175869063837
GHG	Mt	Public services	1.3432611416631558e-07	0.0248757492538328	5.941668077585588	0.6202533163168401	0.2406022164732952	0.1721208148631854
GHG	Mt	Recreation; other services	0.0005909801945052	0.014359863237491	0.1139731147139952	0.4051971953863896	0.3848833043986985	0.028755065850943
GHG	Mt	Textiles & wearing apparel	0.0	0.0874139119043851	0.0017677374989794	2.6797398484986537	0.0	0.0306312194607396
GHG	Mt	Transport	0.0812569302727849	17.75419791278483	0.1780303327444908	2.184179286755449	0.0	0.9886070464158144
GHG	Mt	Transport equipment	0.5236266845492434	0.6681862349503429	0.0231241003626657	1.709513597568422	0.0	3.2262463899829257
GHG	Mt	Wholesale, retail , Hospitality	0.2064766603828087	1.1310555297235725	0.0910383277570009	3.1552202206512723	0.0	0.3556573609899108
GHG	Mt	Wood, paper & publishing	0.0	0.4481150652271938	0.0002040169674326	0.1885696002880146	0.0	0.0740704064908792
