year	emission	region	sector	value	unit
2012	CH4	Europe	Electrical & machinery	4562.067596599707	t
2012	CH4	Advanced	Electrical & machinery	1475.2473050917267	t
2012	CH4	Developing	Electrical & machinery	16828.047381579567	t
2012	CH4	Norway	Electrical & machinery	525.7596077796613	t
2012	CH4	Europe	Electricity, gas & water	1575.8102894629703	t
2012	CH4	Advanced	Electricity, gas & water	264.54666000888074	t
2012	CH4	Developing	Electricity, gas & water	2979.551671240047	t
2012	CH4	Norway	Electricity, gas & water	9965.189003646688	t
2012	CH4	Europe	Food, beverages & tobacco	20849.62565966052	t
2012	CH4	Advanced	Food, beverages & tobacco	1490.7680819298357	t
2012	CH4	Developing	Food, beverages & tobacco	36529.032897825076	t
2012	CH4	Norway	Food, beverages & tobacco	44479.295086448496	t
2012	CH4	Europe	Metal & metal products	920.3132809708742	t
2012	CH4	Advanced	Metal & metal products	267.5628047750743	t
2012	CH4	Developing	Metal & metal products	2490.737844559446	t
2012	CH4	Norway	Metal & metal products	126.47559421264057	t
2012	CH4	Europe	Mining & quarrying	2239.782479709997	t
2012	CH4	Advanced	Mining & quarrying	1783.1512564596628	t
2012	CH4	Developing	Mining & quarrying	12226.673397467841	t
2012	CH4	Norway	Mining & quarrying	3253.81153144906	t
2012	CH4	Europe	Other manufacturing & recycl.	1686.378423595926	t
2012	CH4	Advanced	Other manufacturing & recycl.	417.8526599855659	t
2012	CH4	Developing	Other manufacturing & recycl.	6436.436426879415	t
2012	CH4	Norway	Other manufacturing & recycl.	315.54796083297265	t
2012	CH4	Europe	Petroleum, chem & non-met	6081.275341105459	t
2012	CH4	Advanced	Petroleum, chem & non-met	4133.014276955265	t
2012	CH4	Developing	Petroleum, chem & non-met	39363.65655830869	t
2012	CH4	Norway	Petroleum, chem & non-met	4405.372537555162	t
2012	CH4	Europe	Public services	6599.533540695042	t
2012	CH4	Advanced	Public services	2284.1981337184025	t
2012	CH4	Developing	Public services	27680.27210598925	t
2012	CH4	Norway	Public services	8228.000639117763	t
2012	CH4	Europe	Recreation; other services	1320.1725016124192	t
2012	CH4	Advanced	Recreation; other services	419.4176422191414	t
2012	CH4	Developing	Recreation; other services	5611.3363549068445	t
2012	CH4	Norway	Recreation; other services	1576.3692073793677	t
2012	CH4	Europe	Textiles & wearing apparel	2472.3938862858236	t
2012	CH4	Advanced	Textiles & wearing apparel	840.8372503728663	t
2012	CH4	Developing	Textiles & wearing apparel	33784.01595561464	t
2012	CH4	Norway	Textiles & wearing apparel	252.6476458399752	t
2012	CH4	Europe	Transport	3347.6327159686334	t
2012	CH4	Advanced	Transport	1263.5494340762518	t
