year	region	emission	value	unit
2015	Developing	PFC	178726.75746440204	t
2015	Norway	PFC	21624.82638074977	t
2015	Europe	SF6_NF3	287687.35224710545	t
2015	Advanced	SF6_NF3	23090.120131604963	t
2015	Developing	SF6_NF3	59695.13797647319	t
2015	Norway	SF6_NF3	58630.52389469121	t
2016	Europe	Biomass CO2	3590.2363490471794	kt
2016	Advanced	Biomass CO2	239.76308243301025	kt
2016	Developing	Biomass CO2	1104.6819323165496	kt
2016	Norway	Biomass CO2	3764.474590324213	kt
2016	Europe	CH4	86034.5477932763	t
2016	Advanced	CH4	23016.317683498884	t
2016	Developing	CH4	282798.54247902276	t
2016	Norway	CH4	135717.80079480694	t
2016	Europe	CO2	12112.13237530439	kt
2016	Advanced	CO2	4866.979014132391	kt
2016	Developing	CO2	18725.353691375938	kt
2016	Norway	CO2	23561.06966559187	kt
2016	Europe	GHG	16.489923647414443	Mt
2016	Advanced	GHG	6.011488763330732	Mt
2016	Developing	GHG	29.241211620390523	Mt
2016	Norway	GHG	29.60708712102128	Mt
2016	Europe	HFC	642444.8884131426	t
2016	Advanced	HFC	199520.85657024395	t
2016	Developing	HFC	635760.4227528161	t
2016	Norway	HFC	744025.174696327	t
2016	Europe	N2O	3326.945637755221	t
2016	Advanced	N2O	935.0435530033893	t
2016	Developing	N2O	6280.977378195928	t
2016	Norway	N2O	5355.033873343732	t
2016	Europe	PFC	141958.64340655645	t
2016	Advanced	PFC	30582.014450189068	t
2016	Developing	PFC	246110.43857301553	t
2016	Norway	PFC	29140.546418509675	t
2016	Europe	SF6_NF3	302779.808073483	t
2016	Advanced	SF6_NF3	22163.441494040806	t
2016	Developing	SF6_NF3	51168.87305419708	t
2016	Norway	SF6_NF3	53669.33562389907	t
2017	Europe	Biomass CO2	4450.861569745219	kt
2017	Advanced	Biomass CO2	208.0299222286331	kt
2017	Developing	Biomass CO2	795.8771042639617	kt
2017	Norway	Biomass CO2	4452.968452699851	kt
2017	Europe	CH4	87361.76818950419	t
2017	Advanced	CH4	19295.04999238954	t
2017	Developing	CH4	218755.96547146453	t
2017	Norway	CH4	137151.36191229505	t
2017	Europe	CO2	13142.166966040539	kt
2017	Advanced	CO2	4430.620784631745	kt
2017	Developing	CO2	14776.992619187988	kt
2017	Norway	CO2	23011.913993662616	kt
2017	Europe	GHG	17.557897775599752	Mt
2017	Advanced	GHG	5.361818912200073	Mt
2017	Developing	GHG	22.932347752794325	Mt
2017	Norway	GHG	29.16147016931926	Mt
2017	Europe	HFC	600731.2086873248	t
2017	Advanced	HFC	187648.37356023173	t
2017	Developing	HFC	678519.4735684063	t
2017	Norway	HFC	775161.1036164747	t
2017	Europe	N2O	3695.731390864662	t
2017	Advanced	N2O	592.2956296136383	t
2017	Developing	N2O	4196.267650326479	t
2017	Norway	N2O	5515.591342271033	t
2017	Europe	PFC	114996.62252884857	t
2017	Advanced	PFC	22408.857559858265	t
2017	Developing	PFC	189592.11438462656	t
2017	Norway	PFC	21163.27468917769	t
2017	Europe	SF6_NF3	274504.65045778785	t
2017	Advanced	SF6_NF3	23921.154813716388	t
2017	Developing	SF6_NF3	50065.585115779504	t
2017	Norway	SF6_NF3	51361.958104901925	t
2018	Europe	Biomass CO2	4431.812776008553	kt
2018	Advanced	Biomass CO2	230.42109946947875	kt
2018	Developing	Biomass CO2	892.6425033251511	kt
2018	Norway	Biomass CO2	4104.599237679342	kt
2018	Europe	CH4	90189.79733192227	t
2018	Advanced	CH4	36634.17556399018	t
2018	Developing	CH4	233212.7945329124	t
2018	Norway	CH4	137371.02848032853	t
2018	Europe	CO2	12638.628719375673	kt
2018	Advanced	CO2	4357.508933574391	kt
2018	Developing	CO2	15978.437211775918	kt
2018	Norway	CO2	23560.86186558941	kt
2018	Europe	GHG	17.242639145775446	Mt
2018	Advanced	GHG	5.7841063832945245	Mt
2018	Developing	GHG	24.860713044913197	Mt
2018	Norway	GHG	29.728286860152288	Mt
2018	Europe	HFC	558953.1708136235	t
2018	Advanced	HFC	191455.51867964666	t
2018	Developing	HFC	803420.4274110561	t
2018	Norway	HFC	753092.7315158295	t
2018	Europe	N2O	3944.629163148018	t
2018	Advanced	N2O	609.2528716966051	t
2018	Developing	N2O	4833.817539049011	t
2018	Norway	N2O	5641.458279445525	t
2018	Europe	PFC	124851.91247601408	t
